Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 2026-03-23
Code    Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
AUT     1984     1.522     0.685     0.506     0.209     0.076     0.047     1.502     0.683     0.503     0.204     0.072     0.040
AUT     1985     1.474     0.667     0.495     0.201     0.070     0.042     1.454     0.665     0.491     0.196     0.067     0.036
AUT     1986     1.449     0.664     0.485     0.194     0.069     0.038     1.430     0.662     0.482     0.190     0.065     0.032
AUT     1987     1.432     0.663     0.480     0.186     0.064     0.038     1.411     0.661     0.477     0.182     0.060     0.032
AUT     1988     1.447     0.679     0.483     0.189     0.062     0.034     1.429     0.677     0.480     0.184     0.059     0.029
AUT     1989     1.446     0.668     0.490     0.193     0.063     0.032     1.427     0.665     0.486     0.189     0.059     0.028
AUT     1990     1.457     0.672     0.500     0.195     0.061     0.030     1.437     0.670     0.496     0.190     0.057     0.025
AUT     1991     1.507     0.706     0.509     0.198     0.064     0.030     1.488     0.704     0.506     0.193     0.060     0.026
AUT     1992     1.505     0.705     0.512     0.199     0.061     0.028     1.485     0.702     0.507     0.194     0.058     0.024
AUT     1993     1.501     0.697     0.524     0.194     0.059     0.028     1.480     0.694     0.519     0.189     0.055     0.024
AUT     1994     1.465     0.674     0.520     0.189     0.057     0.026     1.445     0.671     0.515     0.184     0.053     0.022
AUT     1995     1.423     0.658     0.504     0.182     0.055     0.025     1.403     0.655     0.500     0.177     0.051     0.021
AUT     1996     1.446     0.670     0.515     0.183     0.054     0.023     1.424     0.666     0.510     0.177     0.050     0.020
AUT     1997     1.393     0.659     0.486     0.176     0.050     0.021     1.370     0.656     0.480     0.171     0.046     0.018
AUT     1998     1.370     0.646     0.485     0.169     0.049     0.021     1.348     0.642     0.479     0.164     0.045     0.018
AUT     1999     1.340     0.639     0.468     0.165     0.048     0.020     1.316     0.634     0.461     0.159     0.044     0.017
AUT     2000     1.364     0.652     0.481     0.164     0.048     0.019     1.341     0.647     0.475     0.159     0.044     0.016
AUT     2001     1.331     0.643     0.462     0.161     0.046     0.020     1.305     0.637     0.456     0.154     0.042     0.016
AUT     2002     1.394     0.665     0.484     0.174     0.051     0.021     1.366     0.659     0.477     0.166     0.047     0.017
AUT     2003     1.376     0.656     0.477     0.173     0.049     0.021     1.346     0.649     0.469     0.165     0.045     0.018
AUT     2004     1.419     0.678     0.492     0.175     0.053     0.022     1.389     0.671     0.483     0.168     0.048     0.019
AUT     2005     1.408     0.672     0.486     0.176     0.052     0.022     1.376     0.665     0.476     0.169     0.047     0.019
AUT     2006     1.409     0.674     0.486     0.174     0.053     0.022     1.374     0.666     0.476     0.166     0.048     0.018
AUT     2007     1.385     0.655     0.484     0.172     0.051     0.023     1.349     0.646     0.473     0.163     0.047     0.020
AUT     2008     1.417     0.676     0.493     0.174     0.050     0.024     1.378     0.667     0.481     0.165     0.046     0.020
AUT     2009     1.396     0.668     0.483     0.173     0.050     0.023     1.355     0.657     0.470     0.164     0.045     0.020
AUT     2010     1.443     0.691     0.506     0.174     0.049     0.023     1.401     0.679     0.493     0.164     0.045     0.020
AUT     2011     1.431     0.693     0.496     0.170     0.049     0.024     1.385     0.680     0.481     0.160     0.044     0.020
AUT     2012     1.440     0.698     0.504     0.169     0.047     0.021     1.392     0.684     0.489     0.159     0.042     0.018
AUT     2013     1.436     0.696     0.509     0.164     0.046     0.022     1.385     0.680     0.491     0.154     0.041     0.019
AUT     2014     1.464     0.707     0.517     0.171     0.047     0.022     1.412     0.691     0.500     0.159     0.043     0.019
AUT     2015     1.491     0.725     0.524     0.171     0.048     0.023     1.434     0.707     0.506     0.159     0.043     0.019
AUT     2016     1.530     0.728     0.541     0.182     0.051     0.027     1.469     0.709     0.521     0.171     0.046     0.023
AUT     2017     1.518     0.728     0.532     0.178     0.053     0.027     1.458     0.709     0.512     0.168     0.047     0.023
AUT     2018     1.475     0.702     0.516     0.178     0.051     0.027     1.411     0.683     0.495     0.165     0.045     0.022
AUT     2019     1.461     0.697     0.508     0.176     0.052     0.027     1.395     0.677     0.486     0.163     0.046     0.022
AUT     2020     1.436     0.694     0.503     0.169     0.045     0.024     1.372     0.674     0.482     0.158     0.040     0.019
AUT     2021     1.476     0.712     0.519     0.173     0.047     0.025     1.411     0.692     0.496     0.160     0.042     0.021
AUT     2022     1.409     0.693     0.486     0.158     0.046     0.025     1.344     0.672     0.464     0.146     0.041     0.021
AUT     2023     1.316     0.644     0.456     0.146     0.044     0.025     1.255     0.623     0.436     0.137     0.039     0.020
BEL     1998     1.601     0.719     0.538     0.224     0.074     0.046     1.579     0.715     0.533     0.220     0.071     0.040
BEL     1999     1.609     0.727     0.544     0.218     0.075     0.045     1.587     0.723     0.539     0.213     0.072     0.039
BEL     2000     1.648     0.754     0.551     0.222     0.075     0.046     1.623     0.750     0.546     0.216     0.071     0.040
BEL     2001     1.654     0.755     0.554     0.223     0.077     0.046     1.628     0.750     0.548     0.217     0.073     0.040
BEL     2002     1.622     0.747     0.545     0.213     0.074     0.044     1.595     0.742     0.539     0.208     0.069     0.037
BEL     2003     1.645     0.759     0.552     0.218     0.073     0.043     1.616     0.754     0.545     0.212     0.068     0.037
BEL     2004     1.704     0.786     0.564     0.231     0.079     0.045     1.671     0.779     0.556     0.223     0.074     0.039
BEL     2005     1.741     0.796     0.587     0.233     0.079     0.046     1.707     0.789     0.578     0.226     0.074     0.040
BEL     2006     1.788     0.812     0.613     0.237     0.080     0.047     1.752     0.805     0.604     0.229     0.075     0.041
BEL     2007     1.833     0.825     0.629     0.246     0.083     0.050     1.793     0.817     0.618     0.238     0.077     0.042
BEL     2008     1.863     0.839     0.640     0.249     0.084     0.051     1.820     0.830     0.629     0.240     0.078     0.044
BEL     2009     1.839     0.834     0.623     0.247     0.085     0.049     1.795     0.824     0.611     0.237     0.080     0.042
BEL     2010     1.845     0.830     0.627     0.256     0.086     0.047     1.797     0.819     0.614     0.245     0.079     0.040
BEL     2011     1.802     0.801     0.619     0.253     0.083     0.046     1.754     0.790     0.607     0.243     0.076     0.039
BEL     2012     1.783     0.785     0.617     0.247     0.086     0.048     1.732     0.773     0.604     0.236     0.079     0.040
BEL     2013     1.745     0.753     0.611     0.248     0.087     0.047     1.694     0.741     0.597     0.237     0.079     0.040
BEL     2014     1.734     0.741     0.607     0.250     0.087     0.049     1.678     0.729     0.591     0.238     0.080     0.041
BEL     2015     1.688     0.724     0.589     0.242     0.086     0.048     1.633     0.710     0.573     0.230     0.079     0.040
BEL     2016     1.673     0.723     0.580     0.238     0.085     0.048     1.616     0.710     0.564     0.225     0.077     0.040
BEL     2017     1.640     0.706     0.559     0.236     0.087     0.051     1.579     0.692     0.542     0.223     0.079     0.043
BEL     2018     1.614     0.684     0.549     0.238     0.091     0.052     1.552     0.669     0.532     0.225     0.083     0.043
BEL     2019     1.595     0.686     0.552     0.221     0.084     0.052     1.531     0.671     0.534     0.208     0.076     0.042
BEL     2020     1.543     0.678     0.533     0.204     0.079     0.050     1.481     0.663     0.515     0.192     0.070     0.041
BEL     2021     1.595     0.690     0.558     0.217     0.078     0.052     1.530     0.675     0.540     0.203     0.069     0.043
BEL     2022     1.527     0.670     0.526     0.204     0.076     0.051     1.463     0.654     0.509     0.190     0.068     0.042
BGR     1947     2.829     0.957     0.812     0.448     0.246     0.365     2.737     0.953     0.806     0.440     0.236     0.303
BGR     1948     2.875     0.982     0.822     0.446     0.248     0.377     2.782     0.978     0.816     0.438     0.237     0.313
BGR     1949     2.869     0.974     0.830     0.438     0.250     0.377     2.777     0.971     0.824     0.430     0.239     0.314
BGR     1950     2.927     1.008     0.845     0.444     0.252     0.378     2.823     1.004     0.838     0.434     0.239     0.309
BGR     1951     2.424     0.901     0.685     0.355     0.194     0.289     2.348     0.898     0.679     0.347     0.186     0.238
BGR     1952     2.428     0.878     0.729     0.360     0.196     0.265     2.359     0.875     0.725     0.352     0.186     0.220
BGR     1953     2.411     0.908     0.726     0.338     0.184     0.255     2.340     0.905     0.721     0.329     0.174     0.209
BGR     1954     2.360     0.916     0.699     0.327     0.179     0.239     2.295     0.913     0.695     0.320     0.170     0.197
BGR     1955     2.380     0.959     0.715     0.305     0.166     0.235     2.318     0.956     0.712     0.299     0.158     0.193
BGR     1956     2.345     0.982     0.717     0.277     0.148     0.221     2.287     0.980     0.713     0.272     0.141     0.181
BGR     1957     2.254     0.987     0.703     0.244     0.127     0.193     2.206     0.985     0.700     0.241     0.121     0.160
BGR     1958     2.231     0.974     0.729     0.231     0.118     0.178     2.185     0.972     0.726     0.228     0.113     0.146
BGR     1959     2.235     1.022     0.734     0.217     0.106     0.156     2.196     1.020     0.731     0.214     0.102     0.129
BGR     1960     2.312     1.043     0.787     0.229     0.104     0.150     2.274     1.040     0.784     0.226     0.100     0.124
BGR     1961     2.291     1.004     0.825     0.224     0.100     0.138     2.257     1.002     0.822     0.220     0.096     0.116
BGR     1962     2.241     0.959     0.828     0.221     0.099     0.135     2.207     0.956     0.826     0.218     0.095     0.112
BGR     1963     2.211     0.956     0.823     0.214     0.093     0.125     2.181     0.953     0.820     0.211     0.090     0.107
BGR     1964     2.184     0.983     0.785     0.208     0.090     0.118     2.155     0.980     0.783     0.205     0.087     0.100
BGR     1965     2.086     0.945     0.744     0.193     0.086     0.119     2.061     0.942     0.741     0.191     0.084     0.103
BGR     1966     2.025     0.924     0.729     0.183     0.080     0.108     2.002     0.922     0.726     0.181     0.078     0.095
BGR     1967     2.022     0.940     0.721     0.181     0.078     0.101     2.000     0.937     0.718     0.180     0.076     0.089
BGR     1968     2.269     0.989     0.844     0.268     0.076     0.092     2.247     0.986     0.841     0.265     0.074     0.080
BGR     1969     2.268     0.974     0.853     0.282     0.075     0.085     2.248     0.971     0.850     0.279     0.073     0.074
BGR     1970     2.173     0.958     0.812     0.257     0.072     0.075     2.155     0.955     0.809     0.254     0.071     0.066
BGR     1971     2.102     0.959     0.773     0.227     0.072     0.071     2.084     0.957     0.770     0.224     0.071     0.063
BGR     1972     2.028     0.939     0.757     0.201     0.066     0.064     2.011     0.937     0.754     0.198     0.064     0.057
BGR     1973     2.148     0.983     0.830     0.202     0.069     0.064     2.132     0.981     0.828     0.200     0.067     0.057
BGR     1974     2.289     0.975     0.975     0.208     0.068     0.062     2.273     0.973     0.972     0.206     0.067     0.056
BGR     1975     2.226     0.968     0.922     0.210     0.066     0.060     2.211     0.966     0.919     0.208     0.065     0.054
BGR     1976     2.243     1.002     0.897     0.216     0.066     0.062     2.228     0.999     0.894     0.214     0.064     0.056
BGR     1977     2.206     1.002     0.876     0.207     0.064     0.057     2.192     1.000     0.873     0.205     0.062     0.052
BGR     1978     2.149     1.000     0.839     0.195     0.060     0.054     2.137     0.998     0.836     0.193     0.059     0.050
BGR     1979     2.155     1.020     0.826     0.198     0.058     0.054     2.143     1.017     0.823     0.196     0.057     0.049
BGR     1980     2.054     0.992     0.771     0.185     0.055     0.050     2.042     0.990     0.768     0.184     0.054     0.046
BGR     1981     2.003     0.982     0.744     0.176     0.053     0.048     1.992     0.979     0.742     0.174     0.052     0.044
BGR     1982     2.012     0.980     0.760     0.172     0.054     0.047     2.002     0.978     0.758     0.170     0.053     0.043
BGR     1983     2.006     0.942     0.789     0.176     0.053     0.046     1.996     0.940     0.787     0.174     0.052     0.043
BGR     1984     2.009     0.938     0.793     0.179     0.053     0.046     1.999     0.936     0.791     0.177     0.052     0.043
BGR     1985     1.978     0.924     0.772     0.181     0.054     0.047     1.968     0.922     0.770     0.179     0.053     0.044
BGR     1986     2.019     0.946     0.804     0.177     0.049     0.044     2.009     0.944     0.802     0.174     0.048     0.042
BGR     1987     1.965     0.916     0.790     0.170     0.047     0.041     1.955     0.914     0.788     0.168     0.046     0.039
BGR     1988     1.972     0.913     0.799     0.170     0.048     0.041     1.962     0.911     0.797     0.168     0.047     0.039
BGR     1989     1.889     0.899     0.740     0.163     0.047     0.040     1.880     0.897     0.738     0.161     0.046     0.037
BGR     1990     1.787     0.882     0.671     0.150     0.045     0.038     1.778     0.880     0.669     0.149     0.044     0.036
BGR     1991     1.644     0.880     0.561     0.127     0.040     0.035     1.636     0.878     0.559     0.125     0.039     0.034
BGR     1992     1.544     0.853     0.504     0.112     0.039     0.035     1.534     0.851     0.502     0.110     0.038     0.032
BGR     1993     1.466     0.793     0.491     0.105     0.040     0.037     1.456     0.791     0.489     0.103     0.039     0.035
BGR     1994     1.378     0.733     0.470     0.099     0.038     0.038     1.370     0.732     0.468     0.098     0.037     0.036
BGR     1995     1.249     0.672     0.427     0.088     0.030     0.031     1.241     0.670     0.425     0.086     0.030     0.030
BGR     1996     1.257     0.675     0.431     0.088     0.031     0.032     1.248     0.673     0.430     0.086     0.030     0.030
BGR     1997     1.122     0.647     0.347     0.074     0.027     0.028     1.114     0.644     0.345     0.072     0.026     0.026
BGR     1998     1.152     0.671     0.362     0.069     0.025     0.026     1.144     0.668     0.360     0.068     0.024     0.024
BGR     1999     1.285     0.719     0.408     0.090     0.034     0.034     1.276     0.717     0.407     0.088     0.033     0.032
BGR     2000     1.322     0.768     0.400     0.085     0.034     0.034     1.312     0.765     0.398     0.084     0.033     0.032
BGR     2001     1.236     0.721     0.367     0.083     0.032     0.032     1.226     0.719     0.365     0.081     0.031     0.031
BGR     2002     1.217     0.694     0.376     0.085     0.031     0.031     1.208     0.692     0.374     0.083     0.030     0.029
BGR     2003     1.247     0.719     0.379     0.083     0.033     0.032     1.237     0.716     0.377     0.082     0.032     0.030
BGR     2004     1.309     0.761     0.392     0.091     0.034     0.033     1.298     0.757     0.389     0.088     0.033     0.030
BGR     2005     1.347     0.792     0.406     0.084     0.032     0.033     1.336     0.789     0.403     0.082     0.031     0.031
BGR     2006     1.422     0.841     0.428     0.087     0.032     0.034     1.409     0.837     0.424     0.085     0.031     0.033
BGR     2007     1.470     0.850     0.463     0.090     0.032     0.036     1.455     0.844     0.459     0.087     0.031     0.034
BGR     2008     1.544     0.893     0.493     0.093     0.031     0.034     1.527     0.887     0.488     0.090     0.030     0.032
BGR     2009     1.640     0.910     0.550     0.106     0.035     0.039     1.620     0.903     0.543     0.103     0.034     0.037
BGR     2010     1.558     0.846     0.533     0.107     0.035     0.037     1.536     0.838     0.526     0.103     0.034     0.035
BGR     2011     1.498     0.806     0.518     0.103     0.035     0.037     1.475     0.798     0.509     0.100     0.034     0.034
BGR     2012     1.498     0.800     0.516     0.108     0.036     0.038     1.475     0.792     0.508     0.104     0.035     0.036
BGR     2013     1.480     0.786     0.508     0.112     0.036     0.038     1.455     0.777     0.499     0.109     0.035     0.036
BGR     2014     1.534     0.815     0.533     0.114     0.036     0.036     1.505     0.805     0.522     0.110     0.035     0.034
BGR     2015     1.530     0.802     0.547     0.113     0.034     0.035     1.498     0.790     0.535     0.108     0.033     0.033
BGR     2016     1.543     0.811     0.546     0.118     0.034     0.035     1.507     0.797     0.532     0.113     0.033     0.032
BGR     2017     1.560     0.822     0.550     0.121     0.034     0.033     1.520     0.808     0.533     0.116     0.032     0.031
BGR     2018     1.558     0.813     0.555     0.122     0.035     0.032     1.517     0.798     0.539     0.116     0.033     0.030
BGR     2019     1.584     0.835     0.556     0.125     0.036     0.031     1.540     0.819     0.538     0.118     0.035     0.030
BGR     2020     1.558     0.821     0.548     0.123     0.035     0.032     1.512     0.804     0.530     0.116     0.033     0.029
BGR     2021     1.578     0.815     0.566     0.131     0.036     0.031     1.532     0.797     0.548     0.125     0.034     0.028
BLR     1964     2.282     0.891     0.697     0.375     0.163     0.155     2.191     0.881     0.685     0.360     0.150     0.115
BLR     1965     2.241     0.910     0.671     0.354     0.160     0.146     2.152     0.900     0.659     0.338     0.145     0.109
BLR     1966     2.309     0.914     0.703     0.369     0.168     0.155     2.222     0.905     0.690     0.355     0.154     0.119
BLR     1967     2.286     0.951     0.720     0.336     0.148     0.131     2.210     0.943     0.708     0.322     0.136     0.101
BLR     1968     2.316     0.982     0.733     0.330     0.142     0.129     2.234     0.970     0.719     0.316     0.131     0.099
BLR     1969     2.290     0.979     0.741     0.315     0.135     0.120     2.219     0.969     0.728     0.303     0.125     0.094
BLR     1970     2.354     1.021     0.775     0.320     0.127     0.111     2.291     1.013     0.764     0.309     0.117     0.088
BLR     1971     2.360     1.042     0.778     0.309     0.123     0.107     2.302     1.034     0.768     0.299     0.114     0.086
BLR     1972     2.311     1.023     0.781     0.293     0.114     0.100     2.256     1.015     0.772     0.282     0.106     0.081
BLR     1973     2.227     0.991     0.763     0.275     0.104     0.093     2.174     0.983     0.755     0.265     0.096     0.075
BLR     1974     2.214     0.992     0.771     0.264     0.098     0.089     2.166     0.986     0.761     0.255     0.091     0.073
BLR     1975     2.157     0.976     0.756     0.244     0.093     0.089     2.113     0.970     0.748     0.235     0.086     0.073
BLR     1976     2.120     0.981     0.745     0.228     0.084     0.082     2.078     0.975     0.737     0.220     0.078     0.068
BLR     1977     2.087     0.970     0.747     0.214     0.079     0.078     2.047     0.965     0.740     0.207     0.073     0.063
BLR     1978     2.065     0.986     0.741     0.197     0.070     0.071     2.031     0.981     0.735     0.191     0.065     0.059
BLR     1979     2.028     0.993     0.731     0.179     0.062     0.063     1.997     0.988     0.725     0.174     0.057     0.053
BLR     1980     2.007     0.988     0.734     0.172     0.054     0.059     1.979     0.984     0.728     0.167     0.050     0.049
BLR     1981     2.008     0.958     0.762     0.181     0.055     0.052     1.980     0.955     0.756     0.175     0.051     0.043
BLR     1982     1.991     0.948     0.756     0.179     0.053     0.054     1.965     0.946     0.751     0.174     0.049     0.045
BLR     1983     2.154     0.965     0.878     0.203     0.055     0.053     2.131     0.963     0.873     0.199     0.051     0.045
BLR     1984     2.096     0.974     0.821     0.198     0.052     0.050     2.072     0.972     0.817     0.193     0.048     0.042
BLR     1985     2.055     0.960     0.805     0.194     0.050     0.047     2.033     0.958     0.800     0.188     0.047     0.040
BLR     1986     2.156     0.990     0.845     0.213     0.056     0.052     2.130     0.987     0.841     0.207     0.052     0.044
BLR     1987     2.086     1.010     0.788     0.189     0.051     0.048     2.061     1.006     0.783     0.184     0.047     0.041
BLR     1988     2.120     1.033     0.811     0.183     0.049     0.044     2.096     1.029     0.806     0.178     0.046     0.037
BLR     1989     2.028     1.029     0.758     0.161     0.042     0.038     2.007     1.025     0.755     0.156     0.039     0.033
BLR     1990     1.913     1.020     0.677     0.141     0.039     0.036     1.896     1.017     0.673     0.138     0.037     0.032
BLR     1991     1.806     1.009     0.597     0.129     0.037     0.033     1.790     1.006     0.593     0.126     0.035     0.029
BLR     1992     1.765     0.988     0.589     0.123     0.035     0.030     1.750     0.985     0.586     0.120     0.033     0.026
BLR     1993     1.624     0.909     0.540     0.114     0.033     0.028     1.610     0.906     0.537     0.111     0.031     0.025
BLR     1994     1.535     0.884     0.491     0.103     0.030     0.026     1.522     0.881     0.488     0.101     0.029     0.023
BLR     1995     1.407     0.826     0.440     0.091     0.027     0.024     1.395     0.823     0.437     0.089     0.025     0.021
BLR     1996     1.335     0.799     0.405     0.084     0.026     0.022     1.324     0.796     0.403     0.081     0.024     0.020
BLR     1997     1.250     0.729     0.391     0.084     0.025     0.021     1.240     0.727     0.389     0.081     0.024     0.019
BLR     1998     1.300     0.744     0.416     0.093     0.026     0.021     1.290     0.742     0.414     0.090     0.025     0.019
BLR     1999     1.311     0.757     0.416     0.090     0.026     0.021     1.300     0.755     0.414     0.087     0.025     0.019
BLR     2000     1.318     0.759     0.427     0.089     0.025     0.019     1.308     0.757     0.425     0.086     0.023     0.017
BLR     2001     1.287     0.731     0.421     0.090     0.026     0.019     1.275     0.729     0.419     0.087     0.024     0.017
BLR     2002     1.241     0.713     0.402     0.086     0.024     0.017     1.230     0.711     0.399     0.083     0.022     0.015
BLR     2003     1.232     0.716     0.394     0.082     0.023     0.017     1.220     0.714     0.390     0.079     0.021     0.015
BLR     2004     1.234     0.717     0.390     0.086     0.023     0.016     1.221     0.715     0.387     0.083     0.021     0.015
BLR     2005     1.253     0.713     0.405     0.092     0.025     0.017     1.240     0.712     0.401     0.089     0.023     0.015
BLR     2006     1.335     0.750     0.438     0.104     0.027     0.017     1.322     0.748     0.434     0.100     0.025     0.015
BLR     2007     1.430     0.773     0.488     0.120     0.029     0.019     1.414     0.771     0.483     0.116     0.027     0.017
BLR     2008     1.488     0.798     0.517     0.125     0.029     0.019     1.471     0.796     0.512     0.120     0.027     0.016
BLR     2009     1.509     0.802     0.536     0.123     0.029     0.019     1.489     0.799     0.530     0.117     0.027     0.016
BLR     2010     1.495     0.774     0.543     0.131     0.029     0.018     1.475     0.771     0.536     0.125     0.027     0.015
BLR     2011     1.516     0.771     0.557     0.141     0.030     0.017     1.495     0.768     0.550     0.135     0.027     0.015
BLR     2012     1.621     0.828     0.592     0.149     0.033     0.018     1.598     0.825     0.584     0.143     0.031     0.015
BLR     2013     1.668     0.809     0.632     0.172     0.037     0.019     1.643     0.806     0.623     0.165     0.034     0.016
BLR     2014     1.697     0.807     0.649     0.180     0.042     0.020     1.668     0.803     0.638     0.172     0.038     0.017
BLR     2015     1.725     0.776     0.671     0.208     0.047     0.023     1.693     0.772     0.659     0.199     0.043     0.020
BLR     2016     1.734     0.761     0.663     0.231     0.053     0.025     1.700     0.757     0.652     0.222     0.048     0.022
BLR     2017     1.541     0.669     0.581     0.211     0.054     0.025     1.507     0.665     0.570     0.201     0.050     0.021
BLR     2018     1.448     0.619     0.544     0.205     0.053     0.027     1.413     0.615     0.533     0.195     0.048     0.023
CAN     1944     2.998     0.883     0.687     0.435     0.279     0.714     2.819     0.875     0.676     0.422     0.265     0.581
CAN     1945     2.999     0.859     0.691     0.448     0.284     0.717     2.816     0.851     0.680     0.434     0.270     0.581
CAN     1946     3.359     1.033     0.796     0.498     0.304     0.728     3.172     1.023     0.784     0.484     0.290     0.593
CAN     1947     3.580     1.173     0.853     0.526     0.317     0.711     3.397     1.162     0.840     0.510     0.302     0.582
CAN     1948     3.421     1.026     0.850     0.530     0.321     0.694     3.246     1.016     0.838     0.515     0.305     0.572
CAN     1949     3.440     0.980     0.879     0.559     0.332     0.690     3.270     0.971     0.866     0.543     0.316     0.574
CAN     1950     3.431     0.954     0.867     0.577     0.344     0.689     3.267     0.945     0.855     0.562     0.327     0.578
CAN     1951     3.478     0.976     0.866     0.591     0.360     0.685     3.313     0.967     0.854     0.574     0.344     0.576
CAN     1952     3.624     1.033     0.873     0.625     0.387     0.705     3.461     1.024     0.861     0.609     0.370     0.597
CAN     1953     3.702     1.044     0.901     0.640     0.399     0.718     3.538     1.034     0.888     0.622     0.381     0.612
CAN     1954     3.815     1.069     0.919     0.661     0.414     0.753     3.642     1.060     0.906     0.642     0.395     0.640
CAN     1955     3.820     1.047     0.916     0.669     0.427     0.761     3.649     1.038     0.903     0.652     0.407     0.649
CAN     1956     3.841     1.043     0.920     0.676     0.433     0.769     3.677     1.035     0.909     0.659     0.415     0.660
CAN     1957     3.930     1.082     0.928     0.694     0.445     0.782     3.766     1.074     0.916     0.676     0.426     0.673
CAN     1958     3.893     1.062     0.920     0.684     0.448     0.779     3.739     1.055     0.909     0.669     0.429     0.677
CAN     1959     3.943     1.052     0.940     0.699     0.462     0.790     3.791     1.045     0.930     0.683     0.443     0.689
CAN     1960     3.909     1.025     0.925     0.706     0.461     0.792     3.759     1.018     0.916     0.691     0.443     0.692
CAN     1961     3.853     0.988     0.902     0.701     0.464     0.798     3.702     0.982     0.892     0.686     0.446     0.696
CAN     1962     3.770     0.953     0.882     0.683     0.461     0.791     3.626     0.947     0.873     0.669     0.444     0.693
CAN     1963     3.680     0.932     0.854     0.672     0.449     0.773     3.544     0.926     0.846     0.659     0.433     0.681
CAN     1964     3.512     0.918     0.827     0.640     0.422     0.705     3.378     0.913     0.818     0.626     0.405     0.616
CAN     1965     3.149     0.879     0.750     0.555     0.365     0.600     3.031     0.874     0.742     0.542     0.350     0.523
CAN     1966     2.815     0.857     0.697     0.477     0.300     0.485     2.712     0.852     0.689     0.467     0.287     0.418
CAN     1967     2.596     0.852     0.662     0.424     0.258     0.400     2.509     0.848     0.656     0.414     0.246     0.345
CAN     1968     2.455     0.843     0.652     0.396     0.227     0.337     2.379     0.839     0.646     0.388     0.217     0.290
CAN     1969     2.404     0.840     0.653     0.391     0.216     0.304     2.336     0.836     0.647     0.383     0.207     0.263
CAN     1970     2.312     0.838     0.639     0.376     0.196     0.264     2.251     0.834     0.634     0.368     0.187     0.227
CAN     1971     2.138     0.794     0.617     0.341     0.171     0.216     2.088     0.790     0.612     0.335     0.165     0.187
CAN     1972     1.965     0.758     0.601     0.301     0.140     0.165     1.924     0.755     0.596     0.296     0.135     0.142
CAN     1973     1.875     0.755     0.601     0.276     0.117     0.126     1.842     0.752     0.598     0.271     0.112     0.108
CAN     1974     1.830     0.753     0.609     0.266     0.104     0.098     1.801     0.750     0.606     0.262     0.100     0.084
CAN     1975     1.832     0.755     0.621     0.273     0.099     0.084     1.806     0.752     0.618     0.269     0.096     0.072
CAN     1976     1.782     0.735     0.620     0.265     0.090     0.071     1.759     0.733     0.616     0.262     0.087     0.061
CAN     1977     1.750     0.748     0.604     0.258     0.082     0.058     1.731     0.746     0.600     0.255     0.079     0.050
CAN     1978     1.697     0.730     0.591     0.248     0.077     0.051     1.678     0.727     0.588     0.245     0.074     0.044
CAN     1979     1.695     0.727     0.591     0.256     0.076     0.046     1.678     0.725     0.588     0.253     0.073     0.040
CAN     1980     1.680     0.734     0.584     0.248     0.073     0.041     1.664     0.732     0.581     0.245     0.071     0.036
CAN     1981     1.652     0.727     0.572     0.241     0.072     0.040     1.635     0.725     0.569     0.238     0.069     0.035
CAN     1982     1.637     0.725     0.561     0.239     0.072     0.039     1.621     0.722     0.558     0.236     0.070     0.034
CAN     1983     1.621     0.721     0.559     0.234     0.070     0.036     1.606     0.719     0.555     0.231     0.068     0.032
CAN     1984     1.625     0.713     0.571     0.236     0.070     0.036     1.610     0.710     0.567     0.233     0.068     0.032
CAN     1985     1.611     0.701     0.569     0.236     0.070     0.034     1.595     0.699     0.565     0.232     0.068     0.031
CAN     1986     1.594     0.695     0.562     0.234     0.069     0.034     1.578     0.692     0.558     0.230     0.067     0.030
CAN     1987     1.576     0.688     0.558     0.229     0.068     0.034     1.559     0.684     0.554     0.225     0.066     0.030
CAN     1988     1.599     0.712     0.555     0.231     0.068     0.034     1.581     0.708     0.550     0.227     0.066     0.031
CAN     1989     1.659     0.746     0.567     0.240     0.071     0.034     1.640     0.742     0.563     0.236     0.069     0.031
CAN     1990     1.715     0.779     0.586     0.242     0.073     0.036     1.696     0.774     0.580     0.238     0.070     0.033
CAN     1991     1.718     0.777     0.585     0.245     0.074     0.036     1.698     0.773     0.580     0.240     0.072     0.033
CAN     1992     1.713     0.766     0.594     0.243     0.073     0.037     1.691     0.761     0.588     0.238     0.070     0.034
CAN     1993     1.685     0.756     0.583     0.236     0.072     0.037     1.662     0.751     0.577     0.232     0.069     0.034
CAN     1994     1.691     0.757     0.587     0.236     0.073     0.038     1.667     0.751     0.580     0.231     0.070     0.035
CAN     1995     1.673     0.750     0.581     0.231     0.072     0.038     1.648     0.745     0.574     0.226     0.070     0.035
CAN     1996     1.634     0.730     0.570     0.225     0.071     0.038     1.608     0.724     0.562     0.220     0.068     0.034
CAN     1997     1.571     0.699     0.555     0.214     0.067     0.037     1.545     0.692     0.547     0.209     0.064     0.033
CAN     1998     1.558     0.694     0.554     0.208     0.065     0.037     1.531     0.688     0.545     0.202     0.062     0.034
CAN     1999     1.546     0.697     0.544     0.205     0.064     0.037     1.517     0.690     0.534     0.199     0.061     0.033
CAN     2000     1.511     0.684     0.526     0.200     0.063     0.037     1.481     0.676     0.516     0.195     0.060     0.033
