Completed cohort fertility and completed cohort fertility by age 40
Last modified: 2026-03-23
Code    Cohort     CCF     CCF40
GBR_SCO 1976         .     1.661
GBR_SCO 1977         .     1.677
GBR_SCO 1978         .     1.680
GBR_SCO 1979         .     1.689
GBR_SCO 1980         .     1.703
GBR_SCO 1981         .     1.697
GBR_SCO 1982         .     1.690
GBRTENW 1923     2.095     2.029
GBRTENW 1924     2.119     2.055
GBRTENW 1925     2.156     2.097
GBRTENW 1926     2.197     2.142
GBRTENW 1927     2.215     2.164
GBRTENW 1928     2.243     2.197
GBRTENW 1929     2.299     2.256
GBRTENW 1930     2.354     2.314
GBRTENW 1931     2.353     2.318
GBRTENW 1932     2.360     2.329
GBRTENW 1933     2.389     2.361
GBRTENW 1934     2.409     2.383
GBRTENW 1935     2.411     2.387
GBRTENW 1936     2.397     2.374
GBRTENW 1937     2.378     2.356
GBRTENW 1938     2.367     2.344
GBRTENW 1939     2.372     2.348
GBRTENW 1940     2.343     2.319
GBRTENW 1941     2.280     2.257
GBRTENW 1942     2.250     2.227
GBRTENW 1943     2.245     2.223
GBRTENW 1944     2.215     2.193
GBRTENW 1945     2.144     2.121
GBRTENW 1946     2.127     2.103
GBRTENW 1947     2.135     2.111
GBRTENW 1948     2.093     2.067
GBRTENW 1949     2.060     2.032
GBRTENW 1950     2.049     2.019
GBRTENW 1951     2.037     2.006
GBRTENW 1952     2.046     2.014
GBRTENW 1953     2.042     2.008
GBRTENW 1954     2.020     1.984
GBRTENW 1955     2.008     1.971
GBRTENW 1956     2.016     1.978
GBRTENW 1957     2.008     1.968
GBRTENW 1958     1.981     1.939
GBRTENW 1959     1.978     1.935
GBRTENW 1960     1.976     1.930
GBRTENW 1961     1.947     1.899
GBRTENW 1962     1.928     1.878
GBRTENW 1963     1.926     1.872
GBRTENW 1964     1.924     1.867
GBRTENW 1965     1.918     1.857
GBRTENW 1966     1.908     1.845
GBRTENW 1967     1.910     1.845
GBRTENW 1968     1.916     1.848
GBRTENW 1969     1.913     1.842
GBRTENW 1970     1.912     1.839
GBRTENW 1971     1.904     1.830
GBRTENW 1972     1.893     1.817
GBRTENW 1973         .     1.818
GBRTENW 1974         .     1.830
GBRTENW 1975         .     1.843
GBRTENW 1976         .     1.856
GBRTENW 1977         .     1.857
GBRTENW 1978         .     1.858
GBRTENW 1979         .     1.881
GBRTENW 1980         .     1.894
GBRTENW 1981         .     1.881
GBRTENW 1982         .     1.870
HUN     1935     1.973     1.953
HUN     1936     1.985     1.966
HUN     1937     1.978     1.961
HUN     1938     1.949     1.933
HUN     1939     1.932     1.917
HUN     1940     1.923     1.910
HUN     1941     1.931     1.918
HUN     1942     1.898     1.886
HUN     1943     1.918     1.905
HUN     1944     1.918     1.905
HUN     1945     1.906     1.891
HUN     1946     1.914     1.900
HUN     1947     1.928     1.914
HUN     1948     1.946     1.931
HUN     1949     1.974     1.958
HUN     1950     1.955     1.939
HUN     1951     1.971     1.954
HUN     1952     1.956     1.939
HUN     1953     1.933     1.916
HUN     1954     1.938     1.920
HUN     1955     1.950     1.934
HUN     1956     1.974     1.957
HUN     1957     2.020     2.002
HUN     1958     2.015     1.997
HUN     1959     2.026     2.006
HUN     1960     2.024     2.003
HUN     1961     2.040     2.018
HUN     1962     2.041     2.019
HUN     1963     2.019     1.994
HUN     1964     2.005     1.978
HUN     1965     1.995     1.968
HUN     1966     1.979     1.950
HUN     1967     1.960     1.927
HUN     1968     1.926     1.894
HUN     1969     1.906     1.871
HUN     1970     1.867     1.828
HUN     1971         .     1.806
HUN     1972         .     1.747
HUN     1973         .     1.737
HUN     1974         .     1.675
HUN     1975         .     1.634
HUN     1976         .     1.611
HUN     1977         .     1.572
HUN     1978         .     1.549
HUN     1979         .     1.518
HUN     1980         .     1.467
IRL     1955     2.666     2.603
IRL     1956     2.577     2.512
IRL     1957     2.535     2.467
IRL     1958     2.487     2.419
IRL     1959     2.446     2.377
IRL     1960     2.414     2.340
IRL     1961     2.346     2.269
IRL     1962     2.309     2.226
IRL     1963     2.283     2.195
IRL     1964     2.241     2.149
IRL     1965     2.207     2.110
IRL     1966     2.173     2.068
IRL     1967     2.175     2.066
IRL     1968     2.174     2.060
IRL     1969     2.147     2.031
IRL     1970     2.116     1.999
IRL     1971     2.100     1.981
IRL     1972     2.103     1.983
IRL     1973         .     1.976
IRL     1974         .     1.958
IRL     1975         .     1.938
IRL     1976         .     1.928
IRL     1977         .     1.921
IRL     1978         .     1.915
IRL     1979         .     1.909
IRL     1980         .     1.883
IRL     1981         .     1.868
IRL     1982         .     1.872
ISL     1945     2.775     2.741
ISL     1946     2.794     2.758
ISL     1947     2.784     2.741
ISL     1948     2.764     2.717
ISL     1949     2.720     2.675
ISL     1950     2.696     2.645
ISL     1951     2.665     2.621
ISL     1952     2.603     2.553
ISL     1953     2.547     2.495
ISL     1954     2.568     2.509
ISL     1955     2.522     2.477
ISL     1956     2.508     2.459
ISL     1957     2.516     2.473
ISL     1958     2.509     2.465
ISL     1959     2.503     2.452
ISL     1960     2.523     2.458
ISL     1961     2.480     2.432
ISL     1962     2.413     2.347
ISL     1963     2.430     2.372
ISL     1964     2.384     2.326
ISL     1965     2.340     2.276
ISL     1966     2.331     2.259
ISL     1967     2.309     2.240
ISL     1968     2.274     2.189
ISL     1969     2.252     2.162
ISL     1970     2.286     2.214
ISL     1971     2.303     2.228
ISL     1972     2.279     2.187
ISL     1973     2.238     2.163
ISL     1974         .     2.174
ISL     1975         .     2.154
ISL     1976         .     2.149
ISL     1977         .     2.100
ISL     1978         .     2.179
ISL     1979         .     2.144
ISL     1980         .     2.086
ISL     1981         .     2.052
ISL     1982         .     2.082
ISL     1983         .     2.019
ITA     1939     2.214     2.182
ITA     1940     2.190     2.160
ITA     1941     2.153     2.124
ITA     1942     2.151     2.123
ITA     1943     2.142     2.115
ITA     1944     2.091     2.065
ITA     1945     2.080     2.054
ITA     1946     2.082     2.056
ITA     1947     2.025     1.999
ITA     1948     1.967     1.940
ITA     1949     1.937     1.908
ITA     1950     1.920     1.889
ITA     1951     1.895     1.863
ITA     1952     1.878     1.846
ITA     1953     1.865     1.833
ITA     1954     1.851     1.818
ITA     1955     1.826     1.791
ITA     1956     1.798     1.761
ITA     1957     1.770     1.732
ITA     1958     1.742     1.701
ITA     1959     1.720     1.676
ITA     1960     1.695     1.650
ITA     1961     1.658     1.610
ITA     1962     1.632     1.579
ITA     1963     1.607     1.550
ITA     1964     1.575     1.515
ITA     1965     1.549     1.485
ITA     1966     1.535     1.466
ITA     1967     1.528     1.455
ITA     1968     1.508     1.433
ITA     1969     1.494     1.414
ITA     1970     1.487     1.405
ITA     1971     1.477     1.394
ITA     1972     1.466     1.381
ITA     1973         .     1.365
ITA     1974         .     1.350
ITA     1975         .     1.343
ITA     1976         .     1.346
ITA     1977         .     1.347
ITA     1978         .     1.346
ITA     1979         .     1.351
ITA     1980         .     1.354
ITA     1981         .     1.348
ITA     1982         .     1.345
JPN     1932     2.084     2.072
JPN     1933     2.042     2.031
JPN     1934     2.036     2.025
JPN     1935     2.049     2.039
JPN     1936     2.044     2.035
JPN     1937     2.054     2.045
JPN     1938     2.024     2.016
JPN     1939     2.021     2.012
JPN     1940     2.061     2.052
JPN     1941     2.063     2.054
JPN     1942     2.041     2.032
JPN     1943     2.044     2.034
JPN     1944     2.029     2.019
JPN     1945     1.969     1.959
JPN     1946     1.956     1.946
JPN     1947     1.986     1.976
JPN     1948     1.993     1.981
JPN     1949     1.995     1.983
JPN     1950     1.971     1.959
JPN     1951     1.964     1.951
JPN     1952     1.985     1.971
JPN     1953     1.990     1.975
JPN     1954     1.985     1.970
JPN     1955     1.979     1.963
JPN     1956     1.948     1.931
JPN     1957     1.920     1.902
JPN     1958     1.910     1.891
JPN     1959     1.872     1.851
JPN     1960     1.827     1.806
JPN     1961     1.786     1.763
JPN     1962     1.744     1.720
JPN     1963     1.699     1.673
JPN     1964     1.689     1.661
JPN     1965     1.626     1.596
JPN     1966     1.527     1.495
JPN     1967     1.544     1.508
JPN     1968     1.538     1.499
JPN     1969     1.487     1.445
JPN     1970     1.470     1.425
JPN     1971     1.455     1.406
JPN     1972     1.445     1.393
JPN     1973     1.443     1.388
JPN     1974     1.438     1.380
JPN     1975         .     1.372
JPN     1976         .     1.377
JPN     1977         .     1.391
JPN     1978         .     1.407
JPN     1979         .     1.417
JPN     1980         .     1.417
JPN     1981         .     1.428
JPN     1982         .     1.439
JPN     1983         .     1.440
JPN     1984         .     1.432
LTU     1944     1.991     1.949
LTU     1945     1.978     1.939
LTU     1946     1.989     1.956
LTU     1947     1.995     1.966
LTU     1948     2.035     2.009
LTU     1949     2.058     2.033
LTU     1950     2.010     1.986
LTU     1951     1.999     1.978
LTU     1952     1.971     1.950
LTU     1953     1.930     1.910
LTU     1954     1.951     1.933
LTU     1955     1.950     1.932
LTU     1956     1.954     1.934
LTU     1957     1.993     1.973
LTU     1958     1.949     1.927
LTU     1959     1.929     1.908
LTU     1960     1.911     1.889
LTU     1961     1.824     1.802
LTU     1962     1.755     1.734
LTU     1963     1.736     1.714
LTU     1964     1.722     1.699
LTU     1965     1.734     1.708
LTU     1966     1.731     1.705
LTU     1967     1.731     1.705
LTU     1968     1.754     1.724
LTU     1969     1.767     1.735
LTU     1970     1.742     1.708
LTU     1971         .     1.693
LTU     1972         .     1.659
LTU     1973         .     1.659
LTU     1974         .     1.681
LTU     1975         .     1.697
LTU     1976         .     1.723
LTU     1977         .     1.727
LTU     1978         .     1.743
LTU     1979         .     1.768
LTU     1980         .     1.770
NLD     1935     2.499     2.477
NLD     1936     2.432     2.412
NLD     1937     2.407     2.388
NLD     1938     2.317     2.298
NLD     1939     2.267     2.248
NLD     1940     2.214     2.193
NLD     1941     2.184     2.166
NLD     1942     2.124     2.105
NLD     1943     2.081     2.064
NLD     1944     2.047     2.030
NLD     1945     1.997     1.978
NLD     1946     1.947     1.930
NLD     1947     1.919     1.902
NLD     1948     1.917     1.898
NLD     1949     1.890     1.870
NLD     1950     1.900     1.877
NLD     1951     1.875     1.851
NLD     1952     1.875     1.851
NLD     1953     1.869     1.844
NLD     1954     1.876     1.849
NLD     1955     1.868     1.841
NLD     1956     1.874     1.845
NLD     1957     1.871     1.840
NLD     1958     1.867     1.834
NLD     1959     1.853     1.819
NLD     1960     1.863     1.827
NLD     1961     1.830     1.796
NLD     1962     1.831     1.793
NLD     1963     1.809     1.770
NLD     1964     1.794     1.753
NLD     1965     1.785     1.743
NLD     1966     1.777     1.735
NLD     1967     1.769     1.725
NLD     1968     1.768     1.723
NLD     1969     1.756     1.709
NLD     1970     1.758     1.709
NLD     1971     1.753     1.704
NLD     1972     1.765     1.714
NLD     1973     1.768     1.716
NLD     1974         .     1.724
NLD     1975         .     1.727
NLD     1976         .     1.725
NLD     1977         .     1.740
NLD     1978         .     1.728
NLD     1979         .     1.737
NLD     1980         .     1.751
NLD     1981         .     1.746
NLD     1982         .     1.755
NLD     1983         .     1.749
NOR     1952     2.062     2.032
NOR     1953     2.041     2.010
NOR     1954     2.048     2.012
NOR     1955     2.051     2.019
NOR     1956     2.054     2.019
NOR     1957     2.062     2.025
NOR     1958     2.070     2.032
NOR     1959     2.080     2.043
NOR     1960     2.092     2.052
NOR     1961     2.088     2.049
NOR     1962     2.092     2.051
NOR     1963     2.084     2.039
NOR     1964     2.081     2.034
NOR     1965     2.074     2.025
NOR     1966     2.075     2.024
NOR     1967     2.071     2.016
NOR     1968     2.079     2.023
NOR     1969     2.067     2.008
NOR     1970     2.062     2.005
NOR     1971     2.047     1.991
NOR     1972     2.043     1.983
NOR     1973     2.040     1.981
NOR     1974     2.024     1.961
NOR     1975         .     1.956
NOR     1976         .     1.957
NOR     1977         .     1.949
NOR     1978         .     1.921
NOR     1979         .     1.906
NOR     1980         .     1.889
NOR     1981         .     1.870
NOR     1982         .     1.861
NOR     1983         .     1.830
NOR     1984         .     1.817
POL     1956     2.181     2.153
POL     1957     2.197     2.172
POL     1958     2.203     2.177
POL     1959     2.212     2.187
POL     1960     2.170     2.145
POL     1961     2.145     2.119
POL     1962     2.109     2.083
POL     1963     2.072     2.046
POL     1964     2.050     2.024
POL     1965     2.030     2.003
POL     1966     2.001     1.973
POL     1967     1.967     1.938
POL     1968     1.916     1.886
POL     1969     1.891     1.859
POL     1970     1.818     1.787
POL     1971     1.768     1.736
POL     1972     1.709     1.677
POL     1973     1.672     1.639
POL     1974         .     1.605
POL     1975         .     1.563
POL     1976         .     1.535
POL     1977         .     1.505
POL     1978         .     1.476
POL     1979         .     1.443
POL     1980         .     1.433
POL     1981         .     1.411
POL     1982         .     1.406
POL     1983         .     1.401
PRT     1925     2.980     2.774
PRT     1926     2.985     2.785
PRT     1927     2.963     2.769
PRT     1928     2.966     2.778
PRT     1929     2.964     2.786
PRT     1930     2.925     2.763
PRT     1931     2.955     2.796
PRT     1932     2.949     2.795
PRT     1933     2.923     2.781
PRT     1934     2.910     2.780
PRT     1935     2.876     2.762
PRT     1936     2.864     2.761
PRT     1937     2.847     2.757
PRT     1938     2.856     2.775
PRT     1939     2.801     2.725
PRT     1940     2.663     2.598
PRT     1941     2.606     2.548
PRT     1942     2.548     2.497
PRT     1943     2.527     2.480
PRT     1944     2.495     2.452
PRT     1945     2.405     2.366
PRT     1946     2.350     2.313
PRT     1947     2.256     2.226
PRT     1948     2.204     2.173
PRT     1949     2.129     2.100
PRT     1950     2.093     2.063
PRT     1951     2.070     2.042
PRT     1952     2.055     2.027
PRT     1953     2.035     2.007
PRT     1954     2.027     1.999
PRT     1955     2.039     2.011
PRT     1956     2.033     2.003
PRT     1957     1.989     1.959
PRT     1958     1.989     1.958
PRT     1959     1.947     1.913
PRT     1960     1.909     1.873
PRT     1961     1.884     1.846
PRT     1962     1.897     1.858
PRT     1963     1.849     1.811
PRT     1964     1.839     1.800
PRT     1965     1.838     1.796
PRT     1966     1.819     1.778
PRT     1967     1.803     1.761
PRT     1968     1.757     1.711
PRT     1969     1.725     1.676
PRT     1970     1.692     1.643
PRT     1971     1.665     1.614
PRT     1972     1.656     1.603
PRT     1973     1.636     1.580
PRT     1974     1.598     1.533
PRT     1975         .     1.524
PRT     1976         .     1.515
PRT     1977         .     1.509
PRT     1978         .     1.494
PRT     1979         .     1.488
PRT     1980         .     1.470
PRT     1981         .     1.475
PRT     1982         .     1.483
PRT     1983         .     1.489
PRT     1984         .     1.481
RUS     1944     1.815     1.791
RUS     1945     1.781     1.757
RUS     1946     1.836     1.811
RUS     1947     1.766     1.743
RUS     1948     1.784     1.764
RUS     1949     1.890     1.870
RUS     1950     1.854     1.837
RUS     1951     1.889     1.874
RUS     1952     1.876     1.863
RUS     1953     1.862     1.850
RUS     1954     1.887     1.876
RUS     1955     1.854     1.842
RUS     1956     1.845     1.834
RUS     1957     1.874     1.862
RUS     1958     1.863     1.850
RUS     1959     1.860     1.847
RUS     1960     1.849     1.836
RUS     1961     1.801     1.786
RUS     1962     1.753     1.737
RUS     1963     1.724     1.707
RUS     1964     1.698     1.680
RUS     1965     1.680     1.659
RUS     1966     1.660     1.636
RUS     1967     1.638     1.611
RUS     1968     1.631     1.600
RUS     1969         .     1.586
RUS     1970         .     1.570
RUS     1971         .     1.559
RUS     1972         .     1.540
RUS     1973         .     1.549
RUS     1974         .     1.570
RUS     1975         .     1.570
RUS     1976         .     1.589
RUS     1977         .     1.614
RUS     1978         .     1.631
SVK     1935     2.708     2.679
SVK     1936     2.668     2.641
SVK     1937     2.669     2.644
SVK     1938     2.638     2.616
SVK     1939     2.608     2.588
SVK     1940     2.541     2.522
SVK     1941     2.485     2.469
SVK     1942     2.452     2.436
SVK     1943     2.457     2.442
SVK     1944     2.422     2.407
SVK     1945     2.357     2.343
SVK     1946     2.376     2.363
SVK     1947     2.378     2.365
SVK     1948     2.356     2.341
SVK     1949     2.328     2.313
SVK     1950     2.303     2.288
SVK     1951     2.280     2.265
SVK     1952     2.275     2.260
SVK     1953     2.241     2.227
SVK     1954     2.232     2.218
SVK     1955     2.226     2.213
SVK     1956     2.214     2.199
SVK     1957     2.207     2.192
SVK     1958     2.193     2.178
SVK     1959     2.184     2.168
SVK     1960     2.174     2.157
SVK     1961     2.169     2.152
SVK     1962     2.146     2.129
SVK     1963     2.115     2.096
SVK     1964     2.084     2.062
SVK     1965         .     2.023
SVK     1966         .     2.012
SVK     1967         .     1.995
SVK     1968         .     1.969
SVK     1969         .     1.930
SVK     1970         .     1.901
SVK     1971         .     1.857
SVK     1972         .     1.819
SVK     1973         .     1.787
SVK     1974         .     1.764
SVN     1968     1.740     1.710
SVN     1969     1.732     1.698
SVN     1970         .     1.683
SVN     1971         .     1.661
SVN     1972         .     1.650
SVN     1973         .     1.641
SVN     1974         .     1.617
SVN     1975         .     1.641
SVN     1976         .     1.623
SVN     1977         .     1.584
SVN     1978         .     1.591
SVN     1979         .     1.588
SWE     1876     3.469     3.150
SWE     1877     3.405     3.098
SWE     1878     3.344     3.050
SWE     1879     3.274     2.987
SWE     1880     3.203     2.928
SWE     1881     3.165     2.906
SWE     1882     3.096     2.854
SWE     1883     3.007     2.781
SWE     1884     2.949     2.736
SWE     1885     2.883     2.683
SWE     1886     2.791     2.606
SWE     1887     2.724     2.553
SWE     1888     2.665     2.500
SWE     1889     2.583     2.428
SWE     1890     2.509     2.364
SWE     1891     2.447     2.311
SWE     1892     2.376     2.247
SWE     1893     2.309     2.184
SWE     1894     2.243     2.122
SWE     1895     2.165     2.048
SWE     1896     2.102     1.986
SWE     1897     2.051     1.938
SWE     1898     1.992     1.881
SWE     1899     1.930     1.816
SWE     1900     1.886     1.768
SWE     1901     1.858     1.735
SWE     1902     1.819     1.693
SWE     1903     1.802     1.674
SWE     1904     1.800     1.672
SWE     1905     1.794     1.669
SWE     1906     1.806     1.688
SWE     1907     1.821     1.712
SWE     1908     1.823     1.724
SWE     1909     1.845     1.751
SWE     1910     1.866     1.776
SWE     1911     1.881     1.797
SWE     1912     1.913     1.832
SWE     1913     1.939     1.862
SWE     1914     1.964     1.890
SWE     1915     1.976     1.903
SWE     1916     1.985     1.916
SWE     1917     2.001     1.936
SWE     1918     2.020     1.956
SWE     1919     2.034     1.976
SWE     1920     2.028     1.971
SWE     1921     2.024     1.969
SWE     1922     2.035     1.980
SWE     1923     2.038     1.985
SWE     1924     2.038     1.989
SWE     1925     2.046     2.002
SWE     1926     2.072     2.031
SWE     1927     2.091     2.054
SWE     1928     2.105     2.072
SWE     1929     2.109     2.077
SWE     1930     2.115     2.088
SWE     1931     2.146     2.122
SWE     1932     2.149     2.127
SWE     1933     2.140     2.118
SWE     1934     2.157     2.138
SWE     1935     2.140     2.122
SWE     1936     2.114     2.094
SWE     1937     2.106     2.086
SWE     1938     2.084     2.063
SWE     1939     2.061     2.038
SWE     1940     2.052     2.028
SWE     1941     2.031     2.007
SWE     1942     1.998     1.973
SWE     1943     1.987     1.960
SWE     1944     1.989     1.960
SWE     1945     1.972     1.945
SWE     1946     1.989     1.959
SWE     1947     2.000     1.967
SWE     1948     1.993     1.958
SWE     1949     2.003     1.967
SWE     1950     2.009     1.970
SWE     1951     2.001     1.962
SWE     1952     2.010     1.971
SWE     1953     2.025     1.986
SWE     1954     2.024     1.986
SWE     1955     2.035     1.997
SWE     1956     2.042     2.003
SWE     1957     2.053     2.013
SWE     1958     2.057     2.016
SWE     1959     2.048     2.005
SWE     1960     2.058     2.011
SWE     1961     2.030     1.981
SWE     1962     2.036     1.982
SWE     1963     2.028     1.971
SWE     1964     2.014     1.957
SWE     1965     2.014     1.952
SWE     1966     2.005     1.938
SWE     1967     1.997     1.929
SWE     1968     1.997     1.926
SWE     1969     1.993     1.921
SWE     1970     1.999     1.924
SWE     1971     1.977     1.901
SWE     1972     1.976     1.901
SWE     1973     1.960     1.879
SWE     1974     1.965     1.885
SWE     1975         .     1.875
SWE     1976         .     1.865
SWE     1977         .     1.866
SWE     1978         .     1.858
SWE     1979         .     1.846
SWE     1980         .     1.852
SWE     1981         .     1.834
SWE     1982         .     1.811
SWE     1983         .     1.807
SWE     1984         .     1.792
TWN     1961     2.175     2.161
TWN     1962     2.140     2.126
TWN     1963     2.075     2.061
TWN     1964     2.015     2.000
TWN     1965     1.956     1.940
TWN     1966     1.905     1.888
TWN     1967     1.874     1.856
TWN     1968     1.820     1.799
TWN     1969     1.764     1.740
TWN     1970     1.724     1.696
TWN     1971     1.680     1.648
TWN     1972     1.649     1.614
TWN     1973     1.617     1.579
TWN     1974     1.590     1.548
TWN     1975         .     1.497
TWN     1976         .     1.473
TWN     1977         .     1.449
TWN     1978         .     1.404
TWN     1979         .     1.386
TWN     1980         .     1.363
TWN     1981         .     1.338
TWN     1982         .     1.312
TWN     1983         .     1.269
TWN     1984         .     1.228
UKR     1944     1.839     1.816
UKR     1945     1.831     1.811
UKR     1946     1.856     1.836
UKR     1947     1.867     1.848
UKR     1948     1.886     1.869
UKR     1949     1.916     1.900
UKR     1950     1.901     1.887
UKR     1951     1.911     1.897
UKR     1952     1.883     1.871
UKR     1953     1.848     1.837
UKR     1954     1.839     1.829
UKR     1955     1.831     1.821
UKR     1956     1.824     1.814
UKR     1957     1.842     1.832
UKR     1958     1.862     1.851
UKR     1959     1.857     1.847
UKR     1960     1.834     1.824
UKR     1961     1.806     1.795
UKR     1962     1.774     1.762
UKR     1963     1.739     1.727
UKR     1964         .     1.686
UKR     1965         .     1.663
UKR     1966         .     1.656
UKR     1967         .     1.604
UKR     1968         .     1.579
UKR     1969         .     1.575
UKR     1970         .     1.544
UKR     1971         .     1.517
UKR     1972         .     1.496
UKR     1973         .     1.496
USA     1918     2.507     2.429
USA     1919     2.595     2.517
USA     1920     2.708     2.628
USA     1921     2.749     2.673
USA     1922     2.784     2.714
USA     1923     2.852     2.786
USA     1924     2.942     2.879
USA     1925     2.986     2.929
USA     1926     3.025     2.974
USA     1927     3.092     3.046
USA     1928     3.109     3.067
USA     1929     3.171     3.132
USA     1930     3.239     3.204
USA     1931     3.241     3.210
USA     1932     3.253     3.226
USA     1933     3.256     3.231
USA     1934     3.254     3.230
USA     1935     3.214     3.192
USA     1936     3.131     3.110
USA     1937     3.059     3.039
USA     1938     2.983     2.964
USA     1939     2.892     2.872
USA     1940     2.795     2.775
USA     1941     2.680     2.660
USA     1942     2.561     2.542
USA     1943     2.464     2.444
USA     1944     2.365     2.344
USA     1945     2.292     2.270
USA     1946     2.215     2.192
USA     1947     2.150     2.126
USA     1948     2.104     2.078
USA     1949     2.057     2.029
USA     1950     2.022     1.992
USA     1951     1.998     1.966
USA     1952     1.982     1.949
USA     1953     1.972     1.938
USA     1954     1.974     1.939
USA     1955     1.981     1.944
USA     1956     1.985     1.947
USA     1957     1.987     1.948
USA     1958     1.991     1.950
USA     1959     2.012     1.970
USA     1960     2.024     1.980
USA     1961     2.024     1.977
USA     1962     2.034     1.985
USA     1963     2.051     2.002
USA     1964     2.066     2.016
USA     1965     2.075     2.023
USA     1966     2.089     2.036
USA     1967     2.109     2.054
USA     1968     2.111     2.055
USA     1969     2.114     2.059
USA     1970     2.137     2.081
USA     1971     2.160     2.103
USA     1972     2.183     2.124
USA     1973     2.203     2.143
USA     1974     2.216     2.155
USA     1975         .     2.159
USA     1976         .     2.166
USA     1977         .     2.169
USA     1978         .     2.145
USA     1979         .     2.117
USA     1980         .     2.098
USA     1981         .     2.088
USA     1982         .     2.089
USA     1983         .     2.074
USA     1984         .     2.049
