Completed cohort fertility and completed cohort fertility by age 40
Last modified: 2026-03-23
Code    Cohort     CCF     CCF40
CAN     1942     2.451     2.436
CAN     1943     2.343     2.328
CAN     1944     2.198     2.183
CAN     1945     2.114     2.098
CAN     1946     2.133     2.116
CAN     1947     2.107     2.089
CAN     1948     2.025     2.006
CAN     1949     1.968     1.948
CAN     1950     1.927     1.906
CAN     1951     1.897     1.874
CAN     1952     1.882     1.858
CAN     1953     1.873     1.848
CAN     1954     1.863     1.837
CAN     1955     1.852     1.826
CAN     1956     1.844     1.817
CAN     1957     1.846     1.818
CAN     1958     1.846     1.816
CAN     1959     1.845     1.814
CAN     1960     1.833     1.801
CAN     1961     1.810     1.776
CAN     1962     1.804     1.768
CAN     1963     1.798     1.759
CAN     1964     1.779     1.739
CAN     1965     1.767     1.724
CAN     1966     1.772     1.726
CAN     1967     1.782     1.732
CAN     1968     1.786     1.733
CAN     1969     1.788     1.733
CAN     1970     1.784     1.728
CAN     1971     1.795     1.736
CAN     1972     1.808     1.748
CAN     1973     1.811     1.750
CAN     1974         .     1.766
CAN     1975         .     1.759
CAN     1976         .     1.750
CAN     1977         .     1.750
CAN     1978         .     1.739
CAN     1979         .     1.730
CAN     1980         .     1.705
CAN     1981         .     1.691
CAN     1982         .     1.689
CAN     1983         .     1.673
CHE     1917     2.209     2.113
CHE     1918     2.229     2.138
CHE     1919     2.215     2.123
CHE     1920     2.216     2.129
CHE     1921     2.221     2.134
CHE     1922     2.205     2.123
CHE     1923     2.229     2.149
CHE     1924     2.215     2.139
CHE     1925     2.192     2.123
CHE     1926     2.223     2.155
CHE     1927     2.189     2.128
CHE     1928     2.192     2.139
CHE     1929     2.194     2.144
CHE     1930     2.175     2.130
CHE     1931     2.180     2.140
CHE     1932     2.188     2.154
CHE     1933     2.197     2.167
CHE     1934     2.199     2.172
CHE     1935     2.173     2.150
CHE     1936     2.186     2.164
CHE     1937     2.167     2.148
CHE     1938     2.156     2.137
CHE     1939     2.123     2.105
CHE     1940     2.080     2.062
CHE     1941     2.033     2.017
CHE     1942     1.969     1.952
CHE     1943     1.923     1.905
CHE     1944     1.885     1.868
CHE     1945     1.855     1.838
CHE     1946     1.852     1.834
CHE     1947     1.823     1.804
CHE     1948     1.813     1.793
CHE     1949     1.808     1.788
CHE     1950     1.796     1.773
CHE     1951     1.770     1.745
CHE     1952     1.757     1.732
CHE     1953     1.758     1.734
CHE     1954     1.754     1.728
CHE     1955     1.751     1.724
CHE     1956     1.756     1.726
CHE     1957     1.742     1.712
CHE     1958     1.751     1.720
CHE     1959     1.774     1.741
CHE     1960     1.780     1.744
CHE     1961     1.767     1.729
CHE     1962     1.746     1.706
CHE     1963     1.721     1.680
CHE     1964     1.695     1.649
CHE     1965     1.672     1.622
CHE     1966     1.669     1.615
CHE     1967     1.658     1.602
CHE     1968     1.652     1.592
CHE     1969     1.657     1.593
CHE     1970     1.646     1.579
CHE     1971     1.638     1.566
CHE     1972     1.650     1.575
CHE     1973     1.650     1.572
CHE     1974     1.653     1.574
CHE     1975         .     1.579
CHE     1976         .     1.573
CHE     1977         .     1.562
CHE     1978         .     1.570
CHE     1979         .     1.563
CHE     1980         .     1.560
CHE     1981         .     1.557
CHE     1982         .     1.556
CHE     1983         .     1.546
CHE     1984         .     1.524
CHL     1977         .     2.005
CHL     1978         .     1.985
CHL     1979         .     1.980
CHL     1980         .     1.985
CZE     1935     2.113     2.100
CZE     1936     2.092     2.079
CZE     1937     2.105     2.093
CZE     1938     2.091     2.080
CZE     1939     2.090     2.078
CZE     1940     2.102     2.091
CZE     1941     2.064     2.055
CZE     1942     2.040     2.031
CZE     1943     2.066     2.057
CZE     1944     2.046     2.038
CZE     1945     2.022     2.014
CZE     1946     2.065     2.057
CZE     1947     2.086     2.078
CZE     1948     2.087     2.079
CZE     1949     2.098     2.090
CZE     1950     2.108     2.099
CZE     1951     2.107     2.097
CZE     1952     2.100     2.092
CZE     1953     2.086     2.077
CZE     1954     2.080     2.071
CZE     1955     2.076     2.067
CZE     1956     2.077     2.067
CZE     1957     2.069     2.059
CZE     1958     2.051     2.040
CZE     1959     2.040     2.027
CZE     1960     2.033     2.018
CZE     1961     2.023     2.006
CZE     1962     2.000     1.984
CZE     1963     1.977     1.958
CZE     1964     1.967     1.948
CZE     1965     1.955     1.931
CZE     1966     1.931     1.905
CZE     1967     1.913     1.885
CZE     1968     1.900     1.868
CZE     1969     1.905     1.872
CZE     1970     1.881     1.848
CZE     1971     1.874     1.838
CZE     1972         .     1.799
CZE     1973         .     1.781
CZE     1974         .     1.776
CZE     1975         .     1.725
CZE     1976         .     1.713
CZE     1977         .     1.689
CZE     1978         .     1.662
CZE     1979         .     1.650
CZE     1980         .     1.641
CZE     1981         .     1.626
DEUTE   1941     1.952     1.945
DEUTE   1942     1.901     1.893
DEUTE   1943     1.891     1.884
DEUTE   1944     1.873     1.867
DEUTE   1945     1.861     1.854
DEUTE   1946     1.866     1.858
DEUTE   1947     1.836     1.829
DEUTE   1948     1.828     1.821
DEUTE   1949     1.804     1.797
DEUTE   1950     1.791     1.784
DEUTE   1951     1.795     1.788
DEUTE   1952     1.803     1.796
DEUTE   1953     1.809     1.802
DEUTE   1954     1.809     1.801
DEUTE   1955     1.817     1.808
DEUTE   1956     1.814     1.804
DEUTE   1957     1.827     1.816
DEUTE   1958     1.822     1.809
DEUTE   1959     1.820     1.807
DEUTE   1960     1.796     1.783
DEUTE   1961     1.764     1.748
DEUTE   1962     1.725     1.708
DEUTE   1963     1.680     1.663
DEUTE   1964     1.640     1.621
DEUTE   1965     1.610     1.588
DEUTE   1966     1.574     1.550
DEUTE   1967     1.567     1.539
DEUTE   1968         .     1.509
DEUTE   1969         .     1.490
DEUTE   1970         .     1.472
DEUTE   1971         .     1.480
DEUTE   1972         .     1.486
DEUTE   1973         .     1.505
DEUTE   1974         .     1.505
DEUTE   1975         .     1.510
DEUTE   1976         .     1.502
DEUTE   1977         .     1.497
DEUTNP  1941     1.916     1.902
DEUTNP  1942     1.865     1.851
DEUTNP  1943     1.829     1.815
DEUTNP  1944     1.800     1.786
DEUTNP  1945     1.795     1.779
DEUTNP  1946     1.795     1.778
DEUTNP  1947     1.769     1.753
DEUTNP  1948     1.749     1.731
DEUTNP  1949     1.735     1.717
DEUTNP  1950     1.723     1.705
DEUTNP  1951     1.693     1.675
DEUTNP  1952     1.687     1.668
DEUTNP  1953     1.676     1.658
DEUTNP  1954     1.658     1.639
DEUTNP  1955     1.675     1.654
DEUTNP  1956     1.672     1.650
DEUTNP  1957     1.661     1.637
DEUTNP  1958     1.663     1.639
DEUTNP  1959     1.663     1.637
DEUTNP  1960     1.661     1.634
DEUTNP  1961     1.637     1.610
DEUTNP  1962     1.618     1.589
DEUTNP  1963     1.593     1.562
DEUTNP  1964     1.571     1.537
DEUTNP  1965     1.556     1.520
DEUTNP  1966     1.531     1.492
DEUTNP  1967     1.509     1.467
DEUTNP  1968         .     1.458
DEUTNP  1969         .     1.460
DEUTNP  1970         .     1.472
DEUTNP  1971         .     1.478
DEUTNP  1972         .     1.497
DEUTNP  1973         .     1.525
DEUTNP  1974         .     1.531
DEUTNP  1975         .     1.534
DEUTNP  1976         .     1.527
DEUTNP  1977         .     1.532
DEUTW   1941     1.902     1.887
DEUTW   1942     1.850     1.834
DEUTW   1943     1.809     1.793
DEUTW   1944     1.777     1.761
DEUTW   1945     1.774     1.757
DEUTW   1946     1.778     1.761
DEUTW   1947     1.750     1.732
DEUTW   1948     1.728     1.708
DEUTW   1949     1.714     1.694
DEUTW   1950     1.700     1.679
DEUTW   1951     1.658     1.638
DEUTW   1952     1.647     1.626
DEUTW   1953     1.630     1.608
DEUTW   1954     1.607     1.584
DEUTW   1955     1.623     1.600
DEUTW   1956     1.621     1.596
DEUTW   1957     1.605     1.579
DEUTW   1958     1.608     1.582
DEUTW   1959     1.606     1.579
DEUTW   1960     1.609     1.580
DEUTW   1961     1.587     1.557
DEUTW   1962     1.574     1.542
DEUTW   1963     1.554     1.520
DEUTW   1964     1.539     1.503
DEUTW   1965     1.530     1.492
DEUTW   1966     1.510     1.469
DEUTW   1967     1.489     1.445
DEUTW   1968         .     1.442
DEUTW   1969         .     1.452
DEUTW   1970         .     1.474
DEUTW   1971         .     1.479
DEUTW   1972         .     1.500
DEUTW   1973         .     1.530
DEUTW   1974         .     1.537
DEUTW   1975         .     1.541
DEUTW   1976         .     1.534
DEUTW   1977         .     1.542
DNK     1901     2.215     2.106
DNK     1902     2.181     2.065
DNK     1903     2.158     2.040
DNK     1904     2.154     2.035
DNK     1905     2.163     2.041
DNK     1906     2.174     2.056
DNK     1907     2.181     2.074
DNK     1908     2.185     2.091
DNK     1909     2.189     2.101
DNK     1910     2.227     2.141
DNK     1911     2.253     2.172
DNK     1912     2.280     2.202
DNK     1913     2.307     2.232
DNK     1914     2.325     2.252
DNK     1915     2.328     2.258
DNK     1916     2.324     2.260
DNK     1917     2.338     2.277
DNK     1918     2.320     2.262
DNK     1919     2.328     2.271
DNK     1920     2.356     2.302
DNK     1921     2.344     2.292
