Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 2026-03-23
Code    Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
ESP     1968     1.527     0.841     0.549     0.105     0.021     0.011     1.462     0.818     0.523     0.095     0.018     0.008
ESP     1969     1.497     0.827     0.536     0.103     0.020     0.011     1.428     0.802     0.509     0.092     0.017     0.008
ESP     1970     1.476     0.819     0.526     0.101     0.020     0.010     1.399     0.789     0.495     0.090     0.017     0.008
ESP     1971     1.449     0.806     0.515     0.098     0.020     0.010     1.368     0.774     0.482     0.087     0.017     0.008
ESP     1972     1.420     0.791     0.503     0.096     0.020     0.010     1.338     0.758     0.470     0.085     0.017     0.008
ESP     1973     1.402     0.783     0.495     0.095     0.020     0.010     1.317     0.748     0.461     0.084     0.017     0.008
ESP     1974         .         .         .         .         .         .     1.296     0.738     0.452     0.082     0.017     0.008
ESP     1975         .         .         .         .         .         .     1.277     0.727     0.444     0.081     0.017     0.008
ESP     1976         .         .         .         .         .         .     1.268     0.721     0.441     0.081     0.017     0.008
ESP     1977         .         .         .         .         .         .     1.267     0.720     0.440     0.082     0.017     0.008
ESP     1978         .         .         .         .         .         .     1.268     0.718     0.440     0.084     0.018     0.008
ESP     1979         .         .         .         .         .         .     1.278     0.720     0.442     0.088     0.019     0.008
ESP     1980         .         .         .         .         .         .     1.287     0.723     0.445     0.090     0.020     0.009
ESP     1981         .         .         .         .         .         .     1.289     0.723     0.444     0.092     0.021     0.009
ESP     1982         .         .         .         .         .         .     1.287     0.720     0.442     0.095     0.022     0.009
ESP     1983         .         .         .         .         .         .     1.281     0.714     0.436     0.097     0.023     0.010
EST     1944     1.889     0.913     0.648     0.206     0.063     0.059     1.863     0.909     0.643     0.200     0.059     0.052
EST     1945     1.873     0.902     0.658     0.192     0.061     0.060     1.844     0.898     0.652     0.186     0.057     0.051
EST     1946     1.889     0.934     0.659     0.193     0.055     0.047     1.862     0.931     0.653     0.187     0.052     0.040
EST     1947     1.910     0.941     0.671     0.194     0.056     0.048     1.885     0.937     0.666     0.187     0.053     0.043
EST     1948     1.916     0.940     0.671     0.198     0.058     0.050     1.891     0.936     0.666     0.191     0.054     0.044
EST     1949     1.988     0.959     0.698     0.210     0.066     0.054     1.966     0.958     0.694     0.204     0.062     0.048
EST     1950     1.964     0.956     0.691     0.207     0.059     0.050     1.943     0.953     0.687     0.201     0.057     0.045
EST     1951     2.002     0.973     0.709     0.207     0.061     0.053     1.984     0.971     0.705     0.202     0.058     0.048
EST     1952     1.951     0.946     0.685     0.208     0.060     0.052     1.935     0.945     0.682     0.204     0.058     0.047
EST     1953     1.963     0.950     0.693     0.208     0.061     0.051     1.947     0.948     0.691     0.203     0.059     0.046
EST     1954     1.973     0.942     0.694     0.218     0.066     0.052     1.955     0.941     0.691     0.214     0.063     0.047
EST     1955     1.970     0.939     0.698     0.219     0.065     0.049     1.951     0.938     0.694     0.213     0.062     0.044
EST     1956     2.022     0.963     0.713     0.222     0.066     0.057     2.004     0.962     0.710     0.217     0.063     0.052
EST     1957     2.027     0.969     0.709     0.227     0.068     0.054     2.006     0.966     0.706     0.222     0.064     0.048
EST     1958     2.035     0.978     0.710     0.227     0.069     0.051     2.014     0.976     0.706     0.222     0.065     0.046
EST     1959     2.060     0.992     0.716     0.232     0.068     0.053     2.038     0.990     0.713     0.226     0.063     0.046
EST     1960     2.062     0.997     0.713     0.232     0.069     0.051     2.038     0.994     0.708     0.225     0.066     0.046
EST     1961     1.994     0.965     0.683     0.225     0.069     0.051     1.970     0.963     0.677     0.219     0.065     0.046
EST     1962     1.970     0.955     0.672     0.227     0.071     0.045     1.941     0.953     0.666     0.218     0.066     0.039
EST     1963     1.912     0.928     0.652     0.218     0.066     0.048     1.880     0.924     0.645     0.209     0.059     0.043
EST     1964     1.882     0.913     0.635     0.218     0.067     0.048     1.850     0.910     0.627     0.208     0.062     0.042
EST     1965     1.907     0.926     0.642     0.219     0.069     0.050     1.867     0.922     0.634     0.208     0.063     0.041
EST     1966     1.866     0.915     0.617     0.219     0.069     0.046     1.824     0.911     0.606     0.204     0.062     0.041
EST     1967     1.874     0.916     0.620     0.227     0.068     0.043     1.827     0.910     0.608     0.212     0.060     0.036
EST     1968     1.877     0.917     0.613     0.232     0.073     0.043     1.824     0.910     0.600     0.214     0.064     0.037
EST     1969     1.860     0.905     0.614     0.231     0.066     0.044     1.803     0.899     0.599     0.211     0.057     0.037
EST     1970     1.867     0.904     0.613     0.234     0.073     0.043     1.812     0.896     0.601     0.218     0.062     0.035
EST     1971     1.840     0.894     0.614     0.227     0.064     0.041     1.781     0.886     0.598     0.208     0.055     0.034
EST     1972     1.829     0.877     0.619     0.228     0.067     0.039     1.765     0.866     0.599     0.210     0.058     0.032
EST     1973     1.861     0.876     0.626     0.245     0.071     0.043     1.796     0.867     0.605     0.225     0.062     0.037
EST     1974     1.841     0.873     0.627     0.238     0.063     0.040     1.766     0.861     0.605     0.216     0.052     0.033
EST     1975         .         .         .         .         .         .     1.773     0.857     0.607     0.218     0.057     0.033
EST     1976         .         .         .         .         .         .     1.772     0.855     0.610     0.223     0.057     0.028
EST     1977         .         .         .         .         .         .     1.785     0.857     0.624     0.224     0.053     0.027
EST     1978         .         .         .         .         .         .     1.789     0.851     0.618     0.228     0.060     0.031
EST     1979         .         .         .         .         .         .     1.797     0.844     0.628     0.237     0.059     0.029
EST     1980         .         .         .         .         .         .     1.798     0.850     0.627     0.232     0.061     0.029
EST     1981         .         .         .         .         .         .     1.803     0.855     0.625     0.233     0.057     0.032
EST     1982         .         .         .         .         .         .     1.786     0.848     0.616     0.233     0.059     0.028
EST     1983         .         .         .         .         .         .     1.779     0.846     0.618     0.230     0.059     0.026
EST     1984         .         .         .         .         .         .     1.765     0.840     0.608     0.231     0.056     0.029
FIN     1967     1.890     0.799     0.646     0.286     0.091     0.069     1.827     0.785     0.629     0.273     0.084     0.056
FIN     1968     1.914     0.800     0.647     0.291     0.097     0.079     1.849     0.785     0.630     0.279     0.090     0.065
FIN     1969     1.904     0.800     0.646     0.288     0.095     0.076     1.836     0.785     0.628     0.274     0.087     0.062
FIN     1970     1.887     0.794     0.635     0.284     0.094     0.079     1.819     0.777     0.619     0.271     0.086     0.066
FIN     1971     1.893     0.795     0.642     0.285     0.093     0.078     1.827     0.780     0.625     0.271     0.086     0.065
FIN     1972     1.909     0.794     0.640     0.284     0.096     0.094     1.838     0.779     0.621     0.270     0.089     0.080
FIN     1973     1.898     0.795     0.640     0.281     0.094     0.088     1.828     0.779     0.621     0.268     0.087     0.073
FIN     1974     1.892     0.798     0.640     0.277     0.092     0.085     1.822     0.782     0.621     0.264     0.084     0.072
FIN     1975         .         .         .         .         .         .     1.837     0.785     0.623     0.268     0.086     0.075
FIN     1976         .         .         .         .         .         .     1.824     0.782     0.621     0.263     0.086     0.072
FIN     1977         .         .         .         .         .         .     1.825     0.784     0.622     0.262     0.083     0.073
FIN     1978         .         .         .         .         .         .     1.806     0.775     0.609     0.256     0.086     0.079
FIN     1979         .         .         .         .         .         .     1.784     0.773     0.607     0.249     0.081     0.074
FIN     1980         .         .         .         .         .         .     1.754     0.765     0.600     0.238     0.079     0.072
FIN     1981         .         .         .         .         .         .     1.740     0.765     0.594     0.237     0.076     0.069
FIN     1982         .         .         .         .         .         .     1.724     0.758     0.585     0.234     0.079     0.068
FIN     1983         .         .         .         .         .         .     1.710     0.755     0.582     0.231     0.078     0.064
FIN     1984         .         .         .         .         .         .     1.693     0.750     0.574     0.228     0.076     0.064
GBR_NIR 1982         .         .         .         .         .         .     1.985     0.849     0.667     0.316     0.106     0.048
HUN     1937     1.977     0.913     0.645     0.223     0.087     0.108     1.960     0.911     0.642     0.220     0.085     0.102
HUN     1938     1.949     0.909     0.642     0.211     0.084     0.102     1.933     0.907     0.639     0.208     0.082     0.097
HUN     1939     1.932     0.909     0.643     0.208     0.078     0.093     1.917     0.907     0.640     0.205     0.076     0.088
HUN     1940     1.923     0.910     0.649     0.206     0.074     0.084     1.910     0.908     0.647     0.203     0.073     0.080
HUN     1941     1.931     0.917     0.658     0.202     0.072     0.083     1.918     0.915     0.655     0.199     0.071     0.078
HUN     1942     1.898     0.908     0.656     0.196     0.067     0.071     1.886     0.907     0.654     0.193     0.066     0.067
HUN     1943     1.918     0.918     0.672     0.197     0.065     0.067     1.905     0.916     0.670     0.194     0.063     0.063
HUN     1944     1.918     0.914     0.680     0.199     0.063     0.062     1.905     0.912     0.677     0.196     0.061     0.059
HUN     1945     1.906     0.907     0.682     0.199     0.061     0.057     1.891     0.905     0.679     0.195     0.059     0.054
HUN     1946     1.914     0.913     0.691     0.197     0.059     0.054     1.900     0.911     0.688     0.193     0.057     0.051
HUN     1947     1.928     0.917     0.701     0.201     0.058     0.051     1.914     0.915     0.698     0.197     0.056     0.048
HUN     1948     1.946     0.915     0.710     0.207     0.061     0.053     1.931     0.913     0.708     0.203     0.058     0.049
HUN     1949     1.974     0.916     0.724     0.213     0.064     0.057     1.958     0.915     0.721     0.208     0.061     0.053
HUN     1950     1.955     0.913     0.721     0.209     0.060     0.052     1.939     0.911     0.719     0.204     0.058     0.048
HUN     1951     1.971     0.919     0.729     0.212     0.061     0.049     1.954     0.917     0.726     0.208     0.058     0.045
HUN     1952     1.956     0.914     0.726     0.210     0.061     0.046     1.939     0.912     0.723     0.204     0.058     0.042
HUN     1953     1.933     0.913     0.718     0.205     0.056     0.041     1.916     0.910     0.715     0.200     0.053     0.037
HUN     1954     1.938     0.917     0.720     0.204     0.057     0.041     1.920     0.915     0.717     0.198     0.054     0.037
HUN     1955     1.950     0.917     0.722     0.208     0.059     0.044     1.934     0.915     0.719     0.204     0.057     0.040
HUN     1956     1.974     0.922     0.728     0.214     0.062     0.048     1.957     0.920     0.725     0.210     0.059     0.044
HUN     1957     2.020     0.927     0.736     0.228     0.071     0.058     2.002     0.925     0.733     0.223     0.068     0.052
HUN     1958     2.015     0.929     0.735     0.228     0.069     0.054     1.997     0.926     0.731     0.224     0.065     0.050
HUN     1959     2.026     0.930     0.734     0.235     0.072     0.055     2.006     0.927     0.730     0.229     0.069     0.051
HUN     1960     2.024     0.926     0.727     0.238     0.075     0.059     2.003     0.923     0.723     0.232     0.071     0.054
HUN     1961     2.040     0.932     0.731     0.244     0.075     0.058     2.018     0.929     0.727     0.238     0.071     0.053
HUN     1962     2.041     0.928     0.723     0.249     0.077     0.064     2.019     0.925     0.719     0.242     0.073     0.059
HUN     1963     2.019     0.921     0.715     0.245     0.077     0.061     1.994     0.917     0.709     0.239     0.073     0.056
HUN     1964     2.005     0.919     0.703     0.244     0.075     0.063     1.978     0.915     0.698     0.237     0.071     0.057
HUN     1965     1.995     0.915     0.700     0.244     0.076     0.059     1.968     0.911     0.694     0.236     0.072     0.054
HUN     1966     1.979     0.914     0.685     0.244     0.076     0.059     1.950     0.910     0.679     0.236     0.071     0.054
HUN     1967     1.960     0.913     0.676     0.240     0.073     0.058     1.927     0.907     0.668     0.232     0.068     0.052
HUN     1968     1.926     0.901     0.660     0.237     0.072     0.056     1.894     0.895     0.652     0.228     0.068     0.051
HUN     1969     1.906     0.899     0.648     0.233     0.072     0.054     1.871     0.891     0.639     0.224     0.067     0.049
HUN     1970     1.867     0.884     0.628     0.227     0.071     0.058     1.828     0.876     0.617     0.217     0.066     0.052
HUN     1971         .         .         .         .         .         .     1.806     0.868     0.603     0.217     0.066     0.051
HUN     1972         .         .         .         .         .         .     1.747     0.848     0.579     0.208     0.063     0.049
HUN     1973         .         .         .         .         .         .     1.737     0.841     0.576     0.208     0.063     0.050
HUN     1974         .         .         .         .         .         .     1.675     0.829     0.552     0.193     0.057     0.044
HUN     1975         .         .         .         .         .         .     1.634     0.817     0.538     0.184     0.054     0.041
HUN     1976         .         .         .         .         .         .     1.611     0.809     0.525     0.182     0.053     0.042
HUN     1977         .         .         .         .         .         .     1.572     0.792     0.510     0.179     0.052     0.039
HUN     1978         .         .         .         .         .         .     1.549     0.778     0.501     0.179     0.051     0.040
HUN     1979         .         .         .         .         .         .     1.518     0.757     0.491     0.177     0.051     0.041
HUN     1980         .         .         .         .         .         .     1.467     0.736     0.472     0.172     0.050     0.038
IRL     1955     2.666     0.876     0.754     0.525     0.277     0.233     2.603     0.869     0.743     0.513     0.265     0.213
IRL     1956     2.577     0.868     0.742     0.502     0.258     0.207     2.512     0.860     0.730     0.488     0.246     0.189
IRL     1957     2.535     0.866     0.742     0.494     0.246     0.188     2.467     0.856     0.728     0.479     0.233     0.171
IRL     1958     2.487     0.866     0.739     0.481     0.231     0.170     2.419     0.856     0.724     0.465     0.219     0.155
IRL     1959     2.446     0.862     0.735     0.472     0.221     0.155     2.377     0.852     0.719     0.455     0.209     0.141
IRL     1960     2.414     0.859     0.737     0.462     0.212     0.144     2.340     0.846     0.719     0.444     0.200     0.130
IRL     1961     2.346     0.843     0.730     0.444     0.200     0.129     2.269     0.829     0.712     0.426     0.187     0.115
IRL     1962     2.309     0.839     0.723     0.437     0.188     0.121     2.226     0.823     0.702     0.418     0.175     0.107
IRL     1963     2.283     0.840     0.722     0.428     0.181     0.112     2.195     0.823     0.698     0.407     0.168     0.099
IRL     1964     2.241     0.833     0.716     0.420     0.172     0.101     2.149     0.814     0.691     0.399     0.158     0.088
IRL     1965     2.207     0.822     0.711     0.414     0.166     0.094     2.110     0.802     0.684     0.391     0.152     0.081
IRL     1966     2.173     0.812     0.706     0.401     0.162     0.092     2.068     0.790     0.677     0.376     0.146     0.079
IRL     1967     2.175     0.821     0.709     0.399     0.157     0.089     2.066     0.797     0.678     0.374     0.141     0.076
IRL     1968     2.174     0.833     0.707     0.396     0.155     0.082     2.060     0.808     0.673     0.369     0.140     0.070
IRL     1969     2.147     0.829     0.701     0.389     0.148     0.080     2.031     0.803     0.665     0.361     0.133     0.068
IRL     1970     2.116     0.825     0.693     0.379     0.144     0.075     1.999     0.798     0.658     0.351     0.129     0.063
IRL     1971     2.100     0.833     0.685     0.372     0.140     0.070     1.981     0.805     0.647     0.345     0.125     0.059
IRL     1972     2.103     0.837     0.688     0.371     0.136     0.071     1.983     0.809     0.650     0.343     0.121     0.060
IRL     1973         .         .         .         .         .         .     1.976     0.811     0.651     0.338     0.119     0.056
IRL     1974         .         .         .         .         .         .     1.958     0.810     0.648     0.331     0.116     0.054
IRL     1975         .         .         .         .         .         .     1.938     0.803     0.641     0.328     0.113     0.054
IRL     1976         .         .         .         .         .         .     1.928     0.810     0.639     0.320     0.107     0.052
IRL     1977         .         .         .         .         .         .     1.921     0.819     0.639     0.313     0.102     0.048
IRL     1978         .         .         .         .         .         .     1.915     0.822     0.639     0.310     0.099     0.045
IRL     1979         .         .         .         .         .         .     1.909     0.826     0.639     0.302     0.097     0.046
IRL     1980         .         .         .         .         .         .     1.883     0.827     0.629     0.291     0.091     0.045
IRL     1981         .         .         .         .         .         .     1.868     0.826     0.627     0.284     0.088     0.043
IRL     1982         .         .         .         .         .         .     1.872     0.828     0.633     0.284     0.086     0.041
ISL     1975         .         .         .         .         .         .     2.154     0.876     0.744     0.411     0.101     0.021
ISL     1976         .         .         .         .         .         .     2.149     0.904     0.742     0.395     0.088     0.020
ISL     1977         .         .         .         .         .         .     2.100     0.875     0.725     0.385     0.096     0.018
ISL     1978         .         .         .         .         .         .     2.179     0.896     0.746     0.411     0.099     0.027
ISL     1979         .         .         .         .         .         .     2.144     0.905     0.729     0.400     0.083     0.028
ISL     1980         .         .         .         .         .         .     2.086     0.894     0.721     0.365     0.079     0.026
ISL     1981         .         .         .         .         .         .     2.052     0.901     0.711     0.350     0.075     0.014
ISL     1982         .         .         .         .         .         .     2.082     0.897     0.729     0.352     0.083     0.020
ISL     1983         .         .         .         .         .         .     2.019     0.883     0.714     0.337     0.068     0.017
JPN     1953     1.990     0.888     0.769     0.282     0.040     0.010     1.975     0.885     0.765     0.278     0.039     0.009
JPN     1954     1.985     0.883     0.765     0.286     0.041     0.010     1.970     0.880     0.760     0.282     0.039     0.008
JPN     1955     1.979     0.881     0.761     0.286     0.042     0.009     1.963     0.877     0.756     0.283     0.039     0.008
JPN     1956     1.948     0.869     0.746     0.283     0.041     0.009     1.931     0.864     0.741     0.279     0.039     0.008
JPN     1957     1.920     0.860     0.733     0.277     0.041     0.009     1.902     0.855     0.728     0.273     0.038     0.008
JPN     1958     1.910     0.859     0.727     0.274     0.040     0.009     1.891     0.854     0.722     0.269     0.038     0.008
JPN     1959     1.872     0.848     0.710     0.265     0.039     0.009     1.851     0.842     0.704     0.261     0.037     0.008
JPN     1960     1.827     0.834     0.693     0.254     0.038     0.009     1.806     0.828     0.686     0.249     0.036     0.008
JPN     1961     1.786     0.823     0.675     0.242     0.037     0.009     1.763     0.816     0.668     0.237     0.035     0.007
JPN     1962     1.744     0.812     0.657     0.230     0.035     0.009     1.720     0.805     0.649     0.225     0.033     0.007
JPN     1963     1.699     0.799     0.639     0.219     0.034     0.008     1.673     0.790     0.631     0.214     0.031     0.007
JPN     1964     1.689     0.802     0.634     0.211     0.033     0.009     1.661     0.793     0.625     0.206     0.031     0.007
JPN     1965     1.626     0.779     0.608     0.198     0.032     0.008     1.596     0.769     0.598     0.193     0.029     0.007
JPN     1966     1.527     0.738     0.568     0.183     0.030     0.008     1.495     0.727     0.557     0.177     0.027     0.007
JPN     1967     1.544     0.753     0.573     0.180     0.029     0.008     1.508     0.740     0.561     0.174     0.027     0.007
JPN     1968     1.538     0.756     0.570     0.175     0.029     0.008     1.499     0.742     0.556     0.168     0.026     0.007
JPN     1969     1.487     0.735     0.550     0.167     0.028     0.008     1.445     0.720     0.535     0.159     0.025     0.007
JPN     1970     1.470     0.731     0.540     0.163     0.028     0.008     1.425     0.714     0.524     0.155     0.025     0.007
JPN     1971     1.455     0.727     0.533     0.159     0.027     0.008     1.406     0.709     0.515     0.151     0.024     0.006
JPN     1972     1.445     0.724     0.529     0.157     0.027     0.008     1.393     0.704     0.509     0.149     0.024     0.007
JPN     1973     1.443     0.723     0.527     0.158     0.027     0.008     1.388     0.702     0.506     0.149     0.024     0.007
JPN     1974     1.438     0.721     0.523     0.158     0.028     0.008     1.380     0.699     0.501     0.149     0.025     0.007
JPN     1975         .         .         .         .         .         .     1.372     0.694     0.497     0.149     0.025     0.007
JPN     1976         .         .         .         .         .         .     1.377     0.695     0.498     0.151     0.026     0.007
JPN     1977         .         .         .         .         .         .     1.391     0.701     0.501     0.155     0.027     0.007
JPN     1978         .         .         .         .         .         .     1.407     0.707     0.506     0.158     0.028     0.008
JPN     1979         .         .         .         .         .         .     1.417     0.707     0.509     0.163     0.030     0.009
JPN     1980         .         .         .         .         .         .     1.417     0.704     0.508     0.165     0.031     0.009
JPN     1981         .         .         .         .         .         .     1.428     0.705     0.511     0.170     0.033     0.010
JPN     1982         .         .         .         .         .         .     1.439     0.706     0.513     0.174     0.034     0.011
JPN     1983         .         .         .         .         .         .     1.440     0.704     0.513     0.176     0.035     0.011
JPN     1984         .         .         .         .         .         .     1.432     0.699     0.510     0.176     0.036     0.012
LTU     1955     1.950     0.944     0.708     0.196     0.057     0.044     1.932     0.942     0.705     0.191     0.055     0.039
LTU     1956     1.954     0.948     0.710     0.196     0.058     0.044     1.934     0.945     0.706     0.190     0.055     0.039
LTU     1957     1.993     0.977     0.716     0.196     0.061     0.044     1.973     0.974     0.712     0.191     0.057     0.039
LTU     1958     1.949     0.974     0.687     0.189     0.058     0.040     1.927     0.971     0.683     0.183     0.055     0.036
LTU     1959     1.929     0.974     0.675     0.185     0.054     0.041     1.908     0.972     0.671     0.179     0.051     0.035
LTU     1960     1.911     0.966     0.671     0.181     0.053     0.041     1.889     0.963     0.666     0.175     0.050     0.035
LTU     1961     1.824     0.914     0.639     0.177     0.053     0.041     1.802     0.911     0.634     0.172     0.050     0.035
LTU     1962     1.755     0.867     0.624     0.176     0.051     0.038     1.734     0.864     0.620     0.170     0.047     0.033
LTU     1963     1.736     0.855     0.618     0.174     0.051     0.038     1.714     0.852     0.613     0.167     0.048     0.034
LTU     1964     1.722     0.847     0.611     0.174     0.052     0.039     1.699     0.844     0.606     0.167     0.048     0.034
LTU     1965     1.734     0.848     0.619     0.174     0.052     0.041     1.708     0.845     0.612     0.168     0.048     0.036
LTU     1966     1.731     0.849     0.618     0.171     0.051     0.040     1.705     0.846     0.611     0.164     0.047     0.035
LTU     1967     1.731     0.854     0.619     0.172     0.049     0.037     1.705     0.850     0.612     0.164     0.046     0.034
LTU     1968     1.754     0.875     0.618     0.168     0.048     0.044     1.724     0.871     0.610     0.160     0.044     0.039
LTU     1969     1.767     0.882     0.617     0.171     0.053     0.043     1.735     0.878     0.607     0.162     0.049     0.038
LTU     1970     1.742     0.877     0.604     0.171     0.052     0.039     1.708     0.873     0.594     0.161     0.047     0.033
LTU     1971         .         .         .         .         .         .     1.693     0.864     0.592     0.160     0.044     0.034
LTU     1972         .         .         .         .         .         .     1.659     0.845     0.581     0.156     0.042     0.034
LTU     1973         .         .         .         .         .         .     1.659     0.841     0.586     0.159     0.041     0.032
LTU     1974         .         .         .         .         .         .     1.681     0.856     0.593     0.159     0.043     0.030
LTU     1975         .         .         .         .         .         .     1.697     0.853     0.599     0.168     0.046     0.031
LTU     1976         .         .         .         .         .         .     1.723     0.857     0.612     0.173     0.045     0.036
LTU     1977         .         .         .         .         .         .     1.727     0.863     0.619     0.173     0.043     0.029
LTU     1978         .         .         .         .         .         .     1.743     0.859     0.625     0.181     0.046     0.033
LTU     1979         .         .         .         .         .         .     1.768     0.864     0.646     0.185     0.044     0.030
LTU     1980         .         .         .         .         .         .     1.770     0.864     0.648     0.184     0.043     0.030
NLD     1935     2.499     0.883     0.781     0.456     0.210     0.169     2.477     0.880     0.777     0.453     0.207     0.159
NLD     1936     2.432     0.881     0.781     0.435     0.194     0.142     2.412     0.879     0.778     0.432     0.191     0.133
NLD     1937     2.407     0.898     0.789     0.425     0.174     0.122     2.388     0.895     0.787     0.422     0.171     0.112
NLD     1938     2.317     0.879     0.778     0.400     0.157     0.103     2.298     0.877     0.775     0.398     0.154     0.094
NLD     1939     2.267     0.884     0.781     0.380     0.137     0.085     2.248     0.882     0.778     0.378     0.135     0.076
NLD     1940     2.214     0.881     0.781     0.356     0.118     0.078     2.193     0.879     0.778     0.354     0.116     0.066
NLD     1941     2.184     0.900     0.779     0.336     0.106     0.062     2.166     0.898     0.777     0.334     0.104     0.054
NLD     1942     2.124     0.889     0.762     0.314     0.096     0.063     2.105     0.887     0.759     0.311     0.093     0.054
NLD     1943     2.081     0.897     0.761     0.288     0.084     0.052     2.064     0.894     0.759     0.285     0.082     0.045
NLD     1944     2.047     0.895     0.759     0.271     0.075     0.046     2.030     0.893     0.757     0.269     0.073     0.039
NLD     1945     1.997     0.883     0.747     0.251     0.070     0.046     1.978     0.881     0.744     0.248     0.068     0.038
NLD     1946     1.947     0.883     0.736     0.230     0.060     0.037     1.930     0.880     0.733     0.228     0.058     0.031
NLD     1947     1.919     0.872     0.728     0.224     0.058     0.037     1.902     0.869     0.725     0.221     0.056     0.031
NLD     1948     1.917     0.872     0.721     0.224     0.060     0.040     1.898     0.868     0.717     0.221     0.057     0.034
NLD     1949     1.890     0.861     0.709     0.222     0.059     0.039     1.870     0.857     0.705     0.218     0.056     0.034
NLD     1950     1.900     0.854     0.703     0.231     0.066     0.047     1.877     0.850     0.697     0.227     0.063     0.040
NLD     1951     1.875     0.847     0.695     0.230     0.062     0.042     1.851     0.841     0.689     0.225     0.060     0.036
NLD     1952     1.875     0.841     0.689     0.234     0.066     0.045     1.851     0.836     0.682     0.230     0.063     0.039
NLD     1953     1.869     0.837     0.683     0.238     0.067     0.045     1.844     0.831     0.676     0.234     0.064     0.039
NLD     1954     1.876     0.835     0.682     0.246     0.069     0.045     1.849     0.829     0.674     0.241     0.066     0.039
NLD     1955     1.868     0.829     0.677     0.249     0.070     0.042     1.841     0.823     0.670     0.244     0.067     0.037
NLD     1956     1.874     0.830     0.678     0.254     0.071     0.041     1.845     0.823     0.670     0.248     0.067     0.036
NLD     1957     1.871     0.828     0.678     0.256     0.070     0.039     1.840     0.820     0.669     0.250     0.066     0.035
NLD     1958     1.867     0.823     0.675     0.257     0.071     0.040     1.834     0.815     0.665     0.251     0.067     0.035
NLD     1959     1.853     0.823     0.671     0.253     0.069     0.037     1.819     0.815     0.660     0.246     0.065     0.033
NLD     1960     1.863     0.828     0.671     0.254     0.071     0.039     1.827     0.819     0.660     0.248     0.067     0.034
NLD     1961     1.830     0.820     0.665     0.245     0.067     0.034     1.796     0.811     0.653     0.238     0.063     0.030
NLD     1962     1.831     0.823     0.665     0.242     0.066     0.034     1.793     0.813     0.653     0.235     0.062     0.029
NLD     1963     1.809     0.820     0.658     0.234     0.064     0.032     1.770     0.810     0.646     0.227     0.060     0.027
NLD     1964     1.794     0.818     0.652     0.230     0.063     0.032     1.753     0.807     0.639     0.222     0.058     0.027
NLD     1965     1.785     0.819     0.649     0.226     0.061     0.031     1.743     0.808     0.636     0.218     0.056     0.026
NLD     1966     1.777     0.818     0.647     0.223     0.060     0.028     1.735     0.807     0.634     0.215     0.056     0.024
NLD     1967     1.769     0.819     0.647     0.218     0.058     0.028     1.725     0.807     0.632     0.209     0.053     0.024
NLD     1968     1.768     0.824     0.642     0.215     0.058     0.029     1.723     0.811     0.627     0.207     0.053     0.024
NLD     1969     1.756     0.824     0.639     0.212     0.056     0.026     1.709     0.810     0.623     0.203     0.051     0.022
NLD     1970     1.758     0.824     0.638     0.213     0.056     0.026     1.709     0.810     0.622     0.204     0.052     0.021
NLD     1971     1.753     0.823     0.637     0.213     0.055     0.025     1.704     0.809     0.621     0.203     0.050     0.020
NLD     1972     1.765     0.827     0.637     0.216     0.058     0.026     1.714     0.812     0.621     0.207     0.053     0.022
NLD     1973     1.768     0.828     0.641     0.217     0.056     0.025     1.716     0.813     0.624     0.207     0.051     0.021
NLD     1974         .         .         .         .         .         .     1.724     0.816     0.625     0.209     0.052     0.021
NLD     1975         .         .         .         .         .         .     1.727     0.817     0.627     0.209     0.054     0.020
NLD     1976         .         .         .         .         .         .     1.725     0.817     0.629     0.208     0.051     0.020
NLD     1977         .         .         .         .         .         .     1.740     0.822     0.634     0.211     0.052     0.021
NLD     1978         .         .         .         .         .         .     1.728     0.820     0.628     0.208     0.051     0.021
NLD     1979         .         .         .         .         .         .     1.737     0.822     0.631     0.210     0.052     0.021
NLD     1980         .         .         .         .         .         .     1.751     0.826     0.638     0.212     0.052     0.024
NLD     1981         .         .         .         .         .         .     1.746     0.826     0.635     0.212     0.053     0.021
NLD     1982         .         .         .         .         .         .     1.755     0.827     0.635     0.215     0.054     0.023
NLD     1983         .         .         .         .         .         .     1.749     0.823     0.627     0.216     0.057     0.025
NOR     1952     2.062     0.891     0.753     0.311     0.077     0.030     2.032     0.887     0.746     0.302     0.072     0.025
NOR     1953     2.041     0.886     0.745     0.306     0.077     0.027     2.010     0.881     0.738     0.298     0.071     0.022
NOR     1954     2.048     0.882     0.742     0.312     0.081     0.030     2.012     0.877     0.733     0.302     0.074     0.025
NOR     1955     2.051     0.882     0.742     0.321     0.078     0.028     2.019     0.877     0.735     0.312     0.073     0.023
NOR     1956     2.054     0.882     0.741     0.322     0.081     0.029     2.019     0.875     0.731     0.314     0.074     0.024
NOR     1957     2.062     0.878     0.738     0.329     0.083     0.034     2.025     0.872     0.728     0.319     0.078     0.028
NOR     1958     2.070     0.877     0.738     0.338     0.087     0.031     2.032     0.870     0.728     0.328     0.080     0.026
NOR     1959     2.080     0.880     0.738     0.345     0.087     0.029     2.043     0.874     0.728     0.335     0.081     0.024
